Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
HOUSTON ASTROS,Yuli Gurriel,advanced,Batter,Handedness,2022,vs R as R,0.055999999999999994,0.14400000000000002,0.39,0.22,0.274,0.355,0.629,0.135,0.242,0.166,0.42,0.414,0.157,0.057,0.055999999999999994,0.34299999999999997,0.396,0.26,0.231,0.509,0.26,87.8,17.1,2.5,R,9
HOUSTON ASTROS,Jason Castro,advanced,Batter,Handedness,2022,vs R as L,0.10099999999999999,0.43,0.24,0.13,0.228,0.203,0.431,0.072,0.229,0.25,0.444,0.306,0.0,0.091,0.0,0.444,0.361,0.19399999999999998,0.111,0.639,0.25,88.6,10.0,5.1,R,9
OAKLAND ATHLETICS,Seth Brown,advanced,Batter,Handedness,2022,vs L as L,0.042,0.313,0.13,0.152,0.188,0.261,0.448,0.109,0.2,0.258,0.452,0.29,0.222,0.111,0.0,0.419,0.226,0.355,0.258,0.516,0.226,89.6,15.0,9.9,L,9
OAKLAND ATHLETICS,Chad Pinder,advanced,Batter,Handedness,2022,vs R as R,0.039,0.36200000000000004,0.11,0.238,0.268,0.361,0.628,0.123,0.356,0.237,0.474,0.289,0.045,0.136,0.027999999999999997,0.355,0.382,0.263,0.158,0.5529999999999999,0.289,88.6,8.3,5.9,R,9
OAKLAND ATHLETICS,Jed Lowrie,advanced,Batter,Handedness,2022,vs L as R,0.043,0.239,0.18,0.205,0.239,0.25,0.489,0.045,0.273,0.242,0.455,0.303,0.0,0.0,0.0,0.485,0.273,0.242,0.152,0.606,0.242,85.8,18.3,2.6,L,9
TORONTO BLUE JAYS,Bo Bichette,advanced,Batter,Handedness,2022,vs L as R,0.094,0.266,0.35,0.207,0.281,0.379,0.661,0.172,0.256,0.171,0.46299999999999997,0.366,0.067,0.133,0.105,0.415,0.268,0.317,0.146,0.561,0.293,91.6,8.5,10.0,L,9
TORONTO BLUE JAYS,Vladimir Guerrero Jr.,advanced,Batter,Handedness,2022,vs L as R,0.127,0.079,1.6,0.291,0.381,0.527,0.908,0.236,0.261,0.18,0.54,0.28,0.071,0.28600000000000003,0.0,0.26,0.54,0.2,0.12,0.5,0.38,93.1,5.4,11.4,L,9
TORONTO BLUE JAYS,Vladimir Guerrero Jr.,advanced,Batter,Handedness,2022,vs R as R,0.09300000000000001,0.203,0.46,0.261,0.338,0.471,0.809,0.21,0.285,0.177,0.498,0.326,0.114,0.214,0.055999999999999994,0.377,0.386,0.237,0.172,0.456,0.37200000000000005,93.1,5.4,11.4,R,9
TORONTO BLUE JAYS,Alejandro Kirk,advanced,Batter,Handedness,2022,vs L as R,0.063,0.094,0.67,0.288,0.344,0.441,0.784,0.153,0.294,0.132,0.528,0.34,0.111,0.111,0.071,0.377,0.245,0.377,0.113,0.509,0.377,91.3,11.1,10.0,L,9
TORONTO BLUE JAYS,Santiago Espinal,advanced,Batter,Handedness,2022,vs R as R,0.063,0.172,0.36,0.245,0.293,0.342,0.635,0.097,0.286,0.251,0.4,0.349,0.10300000000000001,0.044000000000000004,0.051,0.374,0.369,0.256,0.195,0.5329999999999999,0.272,86.8,14.5,4.3,R,9
TORONTO BLUE JAYS,Cavan Biggio,advanced,Batter,Handedness,2022,vs R as L,0.14300000000000002,0.28600000000000003,0.5,0.226,0.344,0.377,0.721,0.151,0.324,0.23199999999999998,0.348,0.42,0.034,0.069,0.042,0.408,0.38,0.21100000000000002,0.127,0.563,0.31,88.4,19.6,11.0,R,9
ATLANTA BRAVES,Ronald Acuna Jr.,advanced,Batter,Handedness,2022,vs R as R,0.079,0.242,0.33,0.279,0.358,0.418,0.776,0.139,0.35,0.19699999999999998,0.426,0.377,0.152,0.109,0.212,0.434,0.336,0.23,0.18899999999999997,0.467,0.344,88.4898305084745,12.98549152542372,7.5555254237288105,R,9
ATLANTA BRAVES,Robinson Cano,advanced,Batter,Handedness,2022,vs L as L,0.0,0.111,0.0,0.222,0.222,0.222,0.444,0.0,0.25,0.0,0.857,0.14300000000000002,0.0,0.0,0.16699999999999998,0.125,0.5,0.375,0.375,0.375,0.25,88.4898305084745,12.98549152542372,7.5555254237288105,L,9
ATLANTA BRAVES,Orlando Arcia,advanced,Batter,Handedness,2022,vs L as R,0.071,0.214,0.33,0.184,0.238,0.237,0.475,0.053,0.233,0.2,0.433,0.36700000000000005,0.0,0.0,0.077,0.433,0.36700000000000005,0.2,0.133,0.467,0.4,90.4,7.0,6.5,L,9
MILWAUKEE BREWERS,Tyrone Taylor,advanced,Batter,Handedness,2022,vs L as R,0.091,0.22699999999999998,0.4,0.186,0.273,0.322,0.595,0.136,0.233,0.22699999999999998,0.364,0.409,0.16699999999999998,0.055999999999999994,0.0,0.43200000000000005,0.386,0.182,0.136,0.545,0.318,88.1,18.9,7.9,L,9
ST. LOUIS CARDINALS,Albert Pujols,advanced,Batter,Handedness,2022,vs R as R,0.121,0.182,0.67,0.167,0.293,0.298,0.591,0.131,0.175,0.152,0.39399999999999996,0.455,0.1,0.1,0.115,0.47,0.348,0.182,0.22699999999999998,0.424,0.348,89.8,14.0,8.2,R,9
ST. LOUIS CARDINALS,Alex Reyes,advanced,Batter,Handedness,2022,vs R as L,0.07400000000000001,0.21,0.35,0.311,0.37,0.5,0.87,0.189,0.393,0.2,0.473,0.327,0.0,0.055999999999999994,0.038,0.316,0.40399999999999997,0.281,0.07,0.579,0.35100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,9
CHICAGO CUBS,Patrick Wisdom,advanced,Batter,Handedness,2022,vs R as R,0.11,0.35100000000000003,0.31,0.214,0.306,0.437,0.743,0.223,0.288,0.146,0.34600000000000003,0.508,0.16699999999999998,0.182,0.08900000000000001,0.47700000000000004,0.331,0.192,0.16899999999999998,0.45399999999999996,0.377,92.5,20.4,15.6,R,9
CHICAGO CUBS,Michael Hermosillo,advanced,Batter,Handedness,2022,vs R as R,0.14300000000000002,0.14300000000000002,1.0,0.167,0.286,0.167,0.452,0.0,0.2,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.2,0.6,0.2,85.8,17.5,21.4,R,9
CHICAGO CUBS,Wade Miley,advanced,Batter,Handedness,2022,vs R as L,0.07400000000000001,0.21,0.35,0.311,0.37,0.5,0.87,0.189,0.393,0.2,0.473,0.327,0.0,0.055999999999999994,0.038,0.316,0.40399999999999997,0.281,0.07,0.579,0.35100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,9
ARIZONA DIAMONDBACKS,Josh Rojas,advanced,Batter,Handedness,2022,vs R as L,0.077,0.17300000000000001,0.45,0.287,0.337,0.453,0.791,0.167,0.325,0.19,0.38,0.43,0.038,0.077,0.065,0.31,0.35700000000000004,0.33299999999999996,0.11900000000000001,0.516,0.365,88.2,13.8,3.1,R,9
ARIZONA DIAMONDBACKS,Carson Kelly,advanced,Batter,Handedness,2022,vs L as R,0.037000000000000005,0.222,0.17,0.216,0.259,0.373,0.632,0.157,0.263,0.205,0.359,0.436,0.11800000000000001,0.059000000000000004,0.071,0.41,0.359,0.231,0.231,0.385,0.385,88.0,15.2,6.5,L,9
ARIZONA DIAMONDBACKS,Sergio Alcantara,advanced,Batter,Handedness,2022,vs R as L,0.013000000000000001,0.275,0.05,0.2,0.205,0.333,0.538,0.133,0.245,0.185,0.40700000000000003,0.40700000000000003,0.045,0.091,0.045,0.40399999999999997,0.316,0.281,0.08800000000000001,0.614,0.298,88.4898305084745,12.98549152542372,7.5555254237288105,R,9
ARIZONA DIAMONDBACKS,Jake McCarthy,advanced,Batter,Handedness,2022,vs L as L,0.115,0.26899999999999996,0.43,0.227,0.346,0.364,0.71,0.136,0.286,0.267,0.5329999999999999,0.2,0.33299999999999996,0.33299999999999996,0.125,0.467,0.4,0.133,0.2,0.4,0.4,90.6,15.5,10.0,L,9
LOS ANGELES DODGERS,Trea Turner,advanced,Batter,Handedness,2022,vs R as R,0.062,0.19899999999999998,0.31,0.307,0.347,0.476,0.823,0.169,0.361,0.233,0.436,0.332,0.03,0.11900000000000001,0.136,0.401,0.34700000000000003,0.252,0.168,0.52,0.312,90.1,8.9,7.7,R,9
LOS ANGELES DODGERS,Cody Bellinger,advanced,Batter,Handedness,2022,vs R as L,0.087,0.306,0.28,0.217,0.288,0.429,0.717,0.212,0.27,0.174,0.326,0.5,0.182,0.152,0.09300000000000001,0.462,0.311,0.22699999999999998,0.129,0.5379999999999999,0.33299999999999996,90.2,21.1,8.7,R,9
LOS ANGELES DODGERS,Max Muncy,advanced,Batter,Handedness,2022,vs L as L,0.149,0.18899999999999997,0.79,0.148,0.27,0.311,0.582,0.164,0.13,0.14300000000000002,0.49,0.36700000000000005,0.0,0.16699999999999998,0.083,0.469,0.36700000000000005,0.163,0.102,0.5920000000000001,0.306,88.8,21.2,12.8,L,9
LOS ANGELES DODGERS,Austin Barnes,advanced,Batter,Handedness,2022,vs R as R,0.10400000000000001,0.179,0.58,0.193,0.299,0.368,0.667,0.175,0.186,0.067,0.511,0.42200000000000004,0.158,0.158,0.087,0.457,0.261,0.28300000000000003,0.196,0.522,0.28300000000000003,89.9,12.5,7.1,R,9
LOS ANGELES DODGERS,Zach McKinstry,advanced,Batter,Handedness,2022,vs R as L,0.0,0.429,0.0,0.143,0.143,0.571,0.714,0.429,0.0,0.25,0.25,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,88.4898305084745,12.98549152542372,7.5555254237288105,R,9
LOS ANGELES DODGERS,Brusdar Graterol,advanced,Batter,Handedness,2022,vs L as R,0.158,0.171,0.92,0.375,0.474,0.609,1.083,0.234,0.449,0.255,0.353,0.392,0.0,0.1,0.055999999999999994,0.33299999999999996,0.353,0.314,0.13699999999999998,0.529,0.33299999999999996,88.4898305084745,12.98549152542372,7.5555254237288105,L,9
