Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
HOUSTON ASTROS,Jake Odorizzi,advanced,Pitcher,Handedness,2022,vs L,4.64,3.8,1.22,0.42,0.125,0.102,0.023,0.234,1.27,0.258,0.564,0.212,0.28800000000000003,0.5,0.242,0.03,0.053,0.284,0.373,0.34299999999999997,0.254,0.537,0.209,28.0,84.7,L,9
OAKLAND ATHLETICS,Cole Irvin,advanced,Pitcher,Handedness,2022,vs L,4.95,1.8,2.75,0.9,0.141,0.051,0.09,0.222,1.0,0.233,0.7140000000000001,0.271,0.424,0.305,0.055999999999999994,0.111,0.0,0.306,0.387,0.306,0.09699999999999999,0.677,0.226,29.7,82.1,L,9
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs L,6.45,2.96,2.18,1.05,0.16699999999999998,0.077,0.09,0.256,1.32,0.283,0.828,0.233,0.34600000000000003,0.42100000000000004,0.134,0.09,0.036000000000000004,0.445,0.28,0.27399999999999997,0.183,0.585,0.23199999999999998,31.1,80.9,L,9
TORONTO BLUE JAYS,Hyun Jin Ryu,advanced,Pitcher,Handedness,2022,vs L,5.79,1.93,3.0,0.0,0.158,0.053,0.105,0.222,1.07,0.267,0.4,0.071,0.5710000000000001,0.35700000000000004,0.2,0.0,0.0,0.4,0.267,0.33299999999999996,0.267,0.5329999999999999,0.2,23.5,87.1,L,9
ATLANTA BRAVES,Ian Anderson,advanced,Pitcher,Handedness,2022,vs L,7.9,5.05,1.57,0.44,0.209,0.134,0.076,0.201,1.29,0.252,0.8370000000000001,0.195,0.513,0.292,0.121,0.061,0.017,0.513,0.301,0.18600000000000003,0.15,0.593,0.257,28.2,81.9,L,9
MILWAUKEE BREWERS,Adrian Houser,advanced,Pitcher,Handedness,2022,vs R,5.84,3.02,1.93,0.6,0.158,0.08199999999999999,0.076,0.238,1.23,0.27,0.512,0.25,0.493,0.257,0.111,0.083,0.07200000000000001,0.47100000000000003,0.32899999999999996,0.2,0.18600000000000003,0.486,0.32899999999999996,26.9,85.1,R,9
ST. LOUIS CARDINALS,Adam Wainwright,advanced,Pitcher,Handedness,2022,vs L,6.58,3.04,2.17,0.51,0.18100000000000002,0.084,0.098,0.221,1.14,0.26,0.813,0.166,0.503,0.331,0.077,0.057999999999999996,0.051,0.42700000000000005,0.33799999999999997,0.23600000000000002,0.14,0.599,0.261,25.2,89.0,L,9
ST. LOUIS CARDINALS,Dakota Hudson,advanced,Pitcher,Handedness,2022,vs L,4.36,5.19,0.84,0.21,0.11699999999999999,0.139,-0.022000000000000002,0.211,1.32,0.237,0.816,0.174,0.614,0.212,0.036000000000000004,0.036000000000000004,0.012,0.515,0.28,0.205,0.121,0.598,0.28,21.9,90.1,L,9
ST. LOUIS CARDINALS,Andre Pallante,advanced,Pitcher,Handedness,2022,vs L,3.62,1.32,2.75,0.66,0.102,0.037000000000000005,0.065,0.245,1.06,0.256,0.846,0.174,0.6629999999999999,0.163,0.0,0.133,0.049,0.326,0.402,0.272,0.239,0.522,0.239,21.8,86.9,L,9
CHICAGO CUBS,Marcus Stroman,advanced,Pitcher,Handedness,2022,vs R,6.94,3.47,2.0,1.54,0.18,0.09,0.09,0.222,1.24,0.232,0.726,0.19399999999999998,0.41700000000000004,0.389,0.071,0.14300000000000002,0.033,0.37,0.384,0.247,0.13699999999999998,0.63,0.233,29.5,86.8,R,9
