Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Abraham Toro,2022-07-09,SEA,TOR,9,2B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Abraham Toro,2022-07-08,SEA,TOR,8,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Abraham Toro,2022-07-07,SEA,TOR,8,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Abraham Toro,2022-07-05,SEA,@SDP,6,DH,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Abraham Toro,2022-07-04,SEA,@SDP,6,2B,1,3,5,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,.667
Abraham Toro,2022-07-03,SEA,OAK,6,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Abraham Toro,2022-07-02,SEA,OAK,6,3B,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Abraham Toro,2022-07-01,SEA,OAK,5,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Abraham Toro,2022-06-30,SEA,OAK,5,2B,1,3,4,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.333
Abraham Toro,2022-06-29,SEA,BAL,7,DH,1,4,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.500
Abraham Toro,2022-06-28,SEA,BAL,9,DH-2B,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Abraham Toro,2022-06-26,SEA,@LAA,1,2B,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Abraham Toro,2022-06-23,SEA,@OAK,7,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.000
Abraham Toro,2022-06-22,SEA,@OAK,1,PH-2B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Abraham Toro,2022-06-19,SEA,LAA,9,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Abraham Toro,2022-06-18,SEA,LAA,7,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Abraham Toro,2022-06-18,SEA,LAA,8,2B,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Abraham Toro,2022-06-16,SEA,LAA,7,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Abraham Toro,2022-06-15,SEA,MIN,8,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Abraham Toro,2022-06-14,SEA,MIN,5,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Abraham Toro,2022-06-13,SEA,MIN,6,DH,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
