Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Albert Almora Jr.,2022-07-10,CIN,TBR,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-08,CIN,TBR,8,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-07,CIN,PIT,8,CF-RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-06,CIN,NYM,8,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-04,CIN,NYM,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-03,CIN,ATL,6,RF,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
Albert Almora Jr.,2022-07-02,CIN,ATL,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Albert Almora Jr.,2022-07-01,CIN,ATL,7,RF,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Albert Almora Jr.,2022-06-29,CIN,@CHC,7,RF,1,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Albert Almora Jr.,2022-06-28,CIN,@CHC,7,RF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Albert Almora Jr.,2022-06-26,CIN,@SFG,7,RF,1,4,4,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.250
Albert Almora Jr.,2022-06-25,CIN,@SFG,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Albert Almora Jr.,2022-06-24,CIN,@SFG,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
