Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Alex Kirilloff,2022-07-10,MIN,@TEX,6,LF,1,3,4,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.667
Alex Kirilloff,2022-07-09,MIN,@TEX,3,PH-RF-1B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Alex Kirilloff,2022-07-08,MIN,@TEX,6,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Alex Kirilloff,2022-07-06,MIN,@CHW,5,LF,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Alex Kirilloff,2022-07-05,MIN,@CHW,6,LF,1,4,4,3,1,0,0,2,3,3,0,0,1,0,0,0,0,0,0,.750
Alex Kirilloff,2022-07-04,MIN,@CHW,6,LF-1B,1,5,5,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.400
Alex Kirilloff,2022-07-03,MIN,BAL,8,1B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Alex Kirilloff,2022-07-02,MIN,BAL,7,LF,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Alex Kirilloff,2022-07-01,MIN,BAL,7,LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Alex Kirilloff,2022-06-30,MIN,@CLE,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Alex Kirilloff,2022-06-29,MIN,@CLE,6,LF-1B,1,4,4,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.750
Alex Kirilloff,2022-06-28,MIN,@CLE,5,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Alex Kirilloff,2022-06-27,MIN,@CLE,5,1B-RF,1,3,5,3,3,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1.000
Alex Kirilloff,2022-06-26,MIN,COL,5,1B,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Alex Kirilloff,2022-06-25,MIN,COL,6,1B,1,3,4,1,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,.333
Alex Kirilloff,2022-06-24,MIN,COL,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Alex Kirilloff,2022-06-23,MIN,CLE,5,DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Alex Kirilloff,2022-06-22,MIN,CLE,5,1B,1,4,4,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.250
Alex Kirilloff,2022-06-21,MIN,CLE,7,1B,1,3,3,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.667
Alex Kirilloff,2022-06-19,MIN,@ARI,6,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Alex Kirilloff,2022-06-18,MIN,@ARI,5,1B,1,5,5,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.200
Alex Kirilloff,2022-06-17,MIN,@ARI,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
