Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Amed Rosario,2022-07-11,CLE,CHW,2,SS,1,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.400
Amed Rosario,2022-07-10,CLE,@KCR,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Amed Rosario,2022-07-09,CLE,@KCR,2,SS,1,5,6,3,2,0,0,1,3,1,0,0,2,1,0,0,0,0,0,.600
Amed Rosario,2022-07-08,CLE,@KCR,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Amed Rosario,2022-07-06,CLE,@DET,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Amed Rosario,2022-07-05,CLE,@DET,2,SS,1,4,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.000
Amed Rosario,2022-07-04,CLE,@DET,2,SS,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Amed Rosario,2022-07-04,CLE,@DET,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Amed Rosario,2022-07-03,CLE,NYY,2,SS,1,2,4,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,.500
Amed Rosario,2022-07-02,CLE,NYY,2,SS,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Amed Rosario,2022-07-02,CLE,NYY,2,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,.000
Amed Rosario,2022-06-30,CLE,MIN,2,SS,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Amed Rosario,2022-06-29,CLE,MIN,2,SS,1,4,5,4,2,2,0,0,2,1,1,0,0,0,0,0,0,1,0,1.000
Amed Rosario,2022-06-28,CLE,MIN,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Amed Rosario,2022-06-28,CLE,MIN,2,SS,1,4,4,3,3,0,0,0,1,2,0,0,1,0,0,0,0,0,1,.750
Amed Rosario,2022-06-27,CLE,MIN,2,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Amed Rosario,2022-06-26,CLE,BOS,2,SS,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,.000
