Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Andrew Velazquez,2022-07-09,LAA,@BAL,6,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000
Andrew Velazquez,2022-07-08,LAA,@BAL,6,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-07-06,LAA,@MIA,6,PR-SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-07-05,LAA,@MIA,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-07-03,LAA,@HOU,6,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-07-02,LAA,@HOU,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Andrew Velazquez,2022-07-01,LAA,@HOU,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-29,LAA,CHW,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-28,LAA,CHW,9,SS,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Andrew Velazquez,2022-06-27,LAA,CHW,9,SS,1,3,4,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,.333
Andrew Velazquez,2022-06-26,LAA,SEA,7,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-25,LAA,SEA,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-24,LAA,SEA,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-22,LAA,KCR,9,SS,1,3,4,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2022-06-21,LAA,KCR,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-20,LAA,KCR,9,SS,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.500
Andrew Velazquez,2022-06-19,LAA,@SEA,8,SS,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-18,LAA,@SEA,9,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.333
Andrew Velazquez,2022-06-18,LAA,@SEA,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-17,LAA,@SEA,8,SS,1,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2022-06-16,LAA,@SEA,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-15,LAA,@LAD,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-14,LAA,@LAD,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-12,LAA,NYM,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-11,LAA,NYM,9,SS,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Andrew Velazquez,2022-06-10,LAA,NYM,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-09,LAA,BOS,9,SS,1,4,4,1,0,0,0,1,1,3,0,0,3,0,0,0,0,0,0,.250
Andrew Velazquez,2022-06-08,LAA,BOS,8,PR-SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-07,LAA,BOS,9,SS,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-06,LAA,BOS,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-05,LAA,@PHI,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-04,LAA,@PHI,9,SS,1,3,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.000
Andrew Velazquez,2022-06-03,LAA,@PHI,3,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-02,LAA,@NYY,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-06-02,LAA,@NYY,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-31,LAA,@NYY,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.250
Andrew Velazquez,2022-05-29,LAA,TOR,8,SS,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-28,LAA,TOR,9,SS,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Andrew Velazquez,2022-05-27,LAA,TOR,7,SS,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.500
Andrew Velazquez,2022-05-26,LAA,TOR,9,SS,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-25,LAA,TEX,9,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Andrew Velazquez,2022-05-24,LAA,TEX,9,SS,1,2,3,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Andrew Velazquez,2022-05-22,LAA,OAK,9,SS,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333
Andrew Velazquez,2022-05-21,LAA,OAK,9,SS,1,3,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.333
Andrew Velazquez,2022-05-20,LAA,OAK,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-18,LAA,@TEX,9,SS,1,4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-17,LAA,@TEX,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-16,LAA,@TEX,9,SS,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-15,LAA,@OAK,9,SS,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-14,LAA,@OAK,9,SS,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Andrew Velazquez,2022-05-14,LAA,@OAK,7,SS,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.333
Andrew Velazquez,2022-05-13,LAA,@OAK,9,SS,1,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2022-05-11,LAA,TBR,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-10,LAA,TBR,9,SS,1,4,4,3,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.750
Andrew Velazquez,2022-05-09,LAA,TBR,9,SS,1,3,4,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,.333
Andrew Velazquez,2022-05-08,LAA,WSN,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Andrew Velazquez,2022-05-07,LAA,WSN,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Andrew Velazquez,2022-05-05,LAA,@BOS,9,SS,1,3,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.000
Andrew Velazquez,2022-05-04,LAA,@BOS,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-03,LAA,@BOS,9,SS,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-02,LAA,@CHW,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-05-01,LAA,@CHW,9,SS,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,.250
Andrew Velazquez,2022-04-29,LAA,@CHW,8,SS,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.000
Andrew Velazquez,2022-04-28,LAA,CLE,9,SS,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.000
Andrew Velazquez,2022-04-26,LAA,CLE,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-25,LAA,CLE,6,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-24,LAA,BAL,9,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-23,LAA,BAL,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-22,LAA,BAL,9,SS,1,2,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,.500
Andrew Velazquez,2022-04-20,LAA,@HOU,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-19,LAA,@HOU,9,SS,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,.250
Andrew Velazquez,2022-04-18,LAA,@HOU,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-17,LAA,@TEX,8,SS,1,2,4,1,1,0,0,0,2,1,2,0,0,0,0,0,0,1,0,.500
Andrew Velazquez,2022-04-16,LAA,@TEX,8,SS,1,4,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2022-04-15,LAA,@TEX,9,SS,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2022-04-14,LAA,@TEX,9,SS,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Andrew Velazquez,2022-04-12,LAA,MIA,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2021-10-03,NYY,TBR,6,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-10-02,NYY,TBR,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2021-09-11,NYY,@NYM,4,PR-SS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-09-08,NYY,TOR,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Andrew Velazquez,2021-09-07,NYY,TOR,9,SS,1,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.667
Andrew Velazquez,2021-09-04,NYY,BAL,8,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-09-01,NYY,@LAA,8,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2021-08-31,NYY,@LAA,7,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-08-30,NYY,@LAA,9,SS,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2021-08-29,NYY,@OAK,9,PR-SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-08-28,NYY,@OAK,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Andrew Velazquez,2021-08-27,NYY,@OAK,8,SS,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Andrew Velazquez,2021-08-26,NYY,@OAK,9,SS,1,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Andrew Velazquez,2021-08-24,NYY,@ATL,8,SS,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,.250
Andrew Velazquez,2021-08-23,NYY,@ATL,8,SS,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Andrew Velazquez,2021-08-21,NYY,MIN,7,SS,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Andrew Velazquez,2021-08-20,NYY,MIN,8,SS,1,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000
Andrew Velazquez,2021-08-19,NYY,MIN,7,SS,1,3,3,2,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,.667
Andrew Velazquez,2021-08-18,NYY,BOS,9,SS,1,4,4,2,2,0,0,0,1,2,0,0,2,0,0,0,0,1,0,.500
Andrew Velazquez,2021-08-17,NYY,BOS,5,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
