Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Austin Barnes,2022-07-09,LAD,CHC,9,C,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-07-06,LAD,COL,9,C,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Austin Barnes,2022-07-03,LAD,SDP,8,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Austin Barnes,2022-07-02,LAD,SDP,7,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Barnes,2022-07-01,LAD,SDP,9,C,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,.250
Austin Barnes,2022-06-28,LAD,@COL,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.000
Austin Barnes,2022-06-25,LAD,@ATL,9,C,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Austin Barnes,2022-06-23,LAD,@CIN,9,C,1,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000
Austin Barnes,2022-06-18,LAD,CLE,9,C,1,1,4,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,.000
Austin Barnes,2022-06-12,LAD,@SFG,9,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Austin Barnes,2022-06-09,LAD,@CHW,9,C,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Austin Barnes,2022-06-04,LAD,NYM,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-06-01,LAD,PIT,7,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Austin Barnes,2022-05-29,LAD,@ARI,9,C,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Austin Barnes,2022-05-26,LAD,@ARI,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Barnes,2022-05-25,LAD,@WSN,9,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-05-22,LAD,@PHI,9,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-05-21,LAD,@PHI,6,PR-DH,1,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1.000
Austin Barnes,2022-05-17,LAD,ARI,8,C,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.333
Austin Barnes,2022-05-16,LAD,ARI,8,C,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-05-14,LAD,PHI,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Barnes,2022-05-13,LAD,PHI,9,C,1,4,5,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.750
Austin Barnes,2022-05-12,LAD,PHI,6,PR-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Barnes,2022-05-10,LAD,@PIT,9,C,1,4,4,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,.250
