Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Austin Hays,2022-07-09,BAL,LAA,5,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Austin Hays,2022-07-08,BAL,LAA,4,LF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Austin Hays,2022-07-07,BAL,LAA,5,LF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Austin Hays,2022-07-06,BAL,TEX,4,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hays,2022-07-04,BAL,TEX,6,LF,1,4,5,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,.250
Austin Hays,2022-07-03,BAL,@MIN,1,LF-RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hays,2022-07-02,BAL,@MIN,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Austin Hays,2022-07-01,BAL,@MIN,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hays,2022-06-29,BAL,@SEA,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hays,2022-06-28,BAL,@SEA,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hays,2022-06-27,BAL,@SEA,4,RF,1,4,5,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,.500
Austin Hays,2022-06-26,BAL,@CHW,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hays,2022-06-25,BAL,@CHW,3,RF,1,5,5,2,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,.400
