Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Austin Hedges,2022-07-10,CLE,@KCR,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-07-08,CLE,@KCR,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-06-25,CLE,BOS,8,C,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-06-24,CLE,BOS,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-06-22,CLE,@MIN,8,C,1,4,5,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.250
Austin Hedges,2022-06-21,CLE,@MIN,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-06-19,CLE,@LAD,9,C,1,1,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,.000
Austin Hedges,2022-06-18,CLE,@LAD,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-06-17,CLE,@LAD,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-06-16,CLE,@COL,9,C,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.250
Austin Hedges,2022-06-14,CLE,@COL,9,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-06-12,CLE,OAK,9,C,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Austin Hedges,2022-06-10,CLE,OAK,9,C,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Austin Hedges,2022-06-09,CLE,OAK,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-06-08,CLE,TEX,8,C,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Austin Hedges,2022-06-07,CLE,TEX,9,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-06-03,CLE,@BAL,9,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Austin Hedges,2022-05-31,CLE,KCR,9,C,1,4,4,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.250
Austin Hedges,2022-05-30,CLE,KCR,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-28,CLE,@DET,9,C,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Austin Hedges,2022-05-25,CLE,@HOU,9,C,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-24,CLE,@HOU,9,C,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-05-22,CLE,DET,9,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.333
Austin Hedges,2022-05-20,CLE,DET,9,C,1,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Austin Hedges,2022-05-19,CLE,CIN,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-17,CLE,CIN,9,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-05-14,CLE,@MIN,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-13,CLE,@MIN,9,C,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
Austin Hedges,2022-05-10,CLE,@CHW,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-09,CLE,@CHW,9,C,1,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.400
Austin Hedges,2022-05-08,CLE,TOR,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-05-07,CLE,TOR,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Hedges,2022-05-05,CLE,TOR,9,C,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Austin Hedges,2022-05-04,CLE,SDP,8,C,1,3,4,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.667
Austin Hedges,2022-04-30,CLE,@OAK,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Austin Hedges,2022-04-29,CLE,@OAK,9,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Austin Hedges,2022-04-28,CLE,@LAA,8,C,1,3,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.667
Austin Hedges,2022-04-26,CLE,@LAA,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Hedges,2022-04-25,CLE,@LAA,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Hedges,2022-04-24,CLE,@NYY,9,C,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Austin Hedges,2022-04-23,CLE,@NYY,9,C,1,3,3,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.333
