Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Austin Riley,2022-07-11,ATL,NYM,4,3B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Austin Riley,2022-07-10,ATL,WSN,4,3B,1,6,6,3,2,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.500
Austin Riley,2022-07-09,ATL,WSN,4,3B,1,3,4,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,.667
Austin Riley,2022-07-08,ATL,WSN,4,3B,1,5,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Austin Riley,2022-07-07,ATL,STL,4,3B,1,4,5,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.500
Austin Riley,2022-07-06,ATL,STL,4,3B,1,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.667
Austin Riley,2022-07-05,ATL,STL,4,3B,1,4,4,3,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,.750
Austin Riley,2022-07-04,ATL,STL,4,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Austin Riley,2022-07-03,ATL,@CIN,4,3B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Austin Riley,2022-07-02,ATL,@CIN,4,3B,1,4,5,2,0,1,0,1,2,2,1,0,0,0,0,0,0,0,0,.500
Austin Riley,2022-07-01,ATL,@CIN,4,3B,1,4,5,2,1,0,0,1,2,3,1,0,2,0,0,0,0,0,0,.500
Austin Riley,2022-06-30,ATL,@PHI,4,3B,1,4,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.750
Austin Riley,2022-06-29,ATL,@PHI,4,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000
Austin Riley,2022-06-28,ATL,@PHI,4,3B,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Austin Riley,2022-06-26,ATL,LAD,4,3B,1,3,5,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,.000
Austin Riley,2022-06-25,ATL,LAD,4,3B,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
