Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Austin Slater,2022-07-11,SFG,ARI,4,PH-DH,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-07-10,SFG,@SDP,1,CF,1,5,6,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.400
Austin Slater,2022-07-09,SFG,@SDP,1,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-07-08,SFG,@SDP,1,CF,1,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.667
Austin Slater,2022-07-07,SFG,@SDP,4,PH-CF,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,.000
Austin Slater,2022-07-06,SFG,@ARI,9,PH-CF,1,2,2,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000
Austin Slater,2022-07-05,SFG,@ARI,1,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Austin Slater,2022-07-04,SFG,@ARI,1,CF,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.000
Austin Slater,2022-07-03,SFG,CHW,1,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Austin Slater,2022-07-02,SFG,CHW,1,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Austin Slater,2022-07-01,SFG,CHW,1,PH-CF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-06-29,SFG,DET,4,PH-CF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Slater,2022-06-28,SFG,DET,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Slater,2022-06-26,SFG,CIN,1,CF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Austin Slater,2022-06-25,SFG,CIN,1,CF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Austin Slater,2022-06-23,SFG,@ATL,8,CF,1,4,4,2,1,0,0,1,1,2,0,0,1,0,0,0,1,0,0,.500
Austin Slater,2022-06-22,SFG,@ATL,1,PH-CF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.000
Austin Slater,2022-06-21,SFG,@ATL,4,PR-CF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-06-20,SFG,@ATL,1,CF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,.250
Austin Slater,2022-06-18,SFG,@PIT,1,CF,1,2,3,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.500
Austin Slater,2022-06-17,SFG,@PIT,4,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-06-15,SFG,KCR,4,PH-CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Slater,2022-06-14,SFG,KCR,1,CF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Austin Slater,2022-06-13,SFG,KCR,4,PH-CF,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.000
Austin Slater,2022-06-12,SFG,LAD,1,CF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Austin Slater,2022-06-11,SFG,LAD,1,CF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Austin Slater,2022-06-10,SFG,LAD,1,PH-CF,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Austin Slater,2022-06-09,SFG,COL,1,CF,1,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.500
Austin Slater,2022-06-05,SFG,@MIA,1,CF,1,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.200
Austin Slater,2022-06-04,SFG,@MIA,4,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Slater,2022-05-22,SFG,SDP,1,CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Austin Slater,2022-05-21,SFG,SDP,5,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
