Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Ben Rortvedt,2021-09-19,MIN,@TOR,9,C,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Ben Rortvedt,2021-09-14,MIN,CLE,8,C,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Ben Rortvedt,2021-09-12,MIN,KCR,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-09-11,MIN,KCR,9,C,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Ben Rortvedt,2021-09-10,MIN,KCR,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-09-09,MIN,@CLE,8,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-09-07,MIN,@CLE,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Ben Rortvedt,2021-09-05,MIN,@TBR,8,C,1,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.500
Ben Rortvedt,2021-08-31,MIN,CHC,8,C,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Ben Rortvedt,2021-07-19,MIN,@CHW,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-07-17,MIN,@DET,8,C,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Ben Rortvedt,2021-07-11,MIN,DET,8,PH-C,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.333
Ben Rortvedt,2021-07-10,MIN,DET,8,PR-C,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-07-09,MIN,DET,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ben Rortvedt,2021-07-07,MIN,CHW,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ben Rortvedt,2021-07-05,MIN,CHW,8,C,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
