Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Bo Bichette,2022-07-10,TOR,@SEA,2,SS,1,4,4,3,2,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.750
Bo Bichette,2022-07-09,TOR,@SEA,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Bo Bichette,2022-07-08,TOR,@SEA,2,SS,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Bo Bichette,2022-07-07,TOR,@SEA,2,SS,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250
Bo Bichette,2022-07-06,TOR,@OAK,2,SS,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.333
Bo Bichette,2022-07-05,TOR,@OAK,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,.250
Bo Bichette,2022-07-04,TOR,@OAK,2,SS,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Bo Bichette,2022-07-03,TOR,TBR,2,SS,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250
Bo Bichette,2022-07-02,TOR,TBR,2,DH,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,.400
Bo Bichette,2022-07-02,TOR,TBR,2,SS,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Bo Bichette,2022-07-01,TOR,TBR,2,SS,1,4,4,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.250
Bo Bichette,2022-06-30,TOR,TBR,2,SS,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Bo Bichette,2022-06-29,TOR,BOS,2,SS,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Bo Bichette,2022-06-28,TOR,BOS,2,SS,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,.250
Bo Bichette,2022-06-27,TOR,BOS,2,SS,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Bo Bichette,2022-06-26,TOR,@MIL,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Bo Bichette,2022-06-25,TOR,@MIL,2,SS,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Bo Bichette,2022-06-24,TOR,@MIL,2,SS,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-06-22,TOR,@CHW,2,SS,1,5,5,2,1,0,0,1,1,4,0,0,1,0,0,0,0,0,0,.400
Bo Bichette,2022-06-21,TOR,@CHW,2,SS,1,5,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,1,1,.200
Bo Bichette,2022-06-20,TOR,@CHW,2,SS,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Bo Bichette,2022-06-19,TOR,NYY,2,SS,1,4,5,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,.250
Bo Bichette,2022-06-18,TOR,NYY,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.250
Bo Bichette,2022-06-16,TOR,BAL,2,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Bo Bichette,2022-06-15,TOR,BAL,2,SS,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Bo Bichette,2022-06-14,TOR,BAL,2,SS,1,5,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.000
Bo Bichette,2022-06-13,TOR,BAL,2,SS,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Bo Bichette,2022-06-12,TOR,@DET,2,SS,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200
Bo Bichette,2022-06-11,TOR,@DET,2,SS,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400
Bo Bichette,2022-06-10,TOR,@DET,2,SS,1,4,4,2,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,.500
Bo Bichette,2022-06-08,TOR,@KCR,2,SS,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.400
Bo Bichette,2022-06-07,TOR,@KCR,2,SS,1,2,5,2,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1.000
Bo Bichette,2022-06-06,TOR,@KCR,2,SS,1,4,4,1,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,.250
Bo Bichette,2022-06-05,TOR,MIN,2,SS,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-06-04,TOR,MIN,2,SS,1,5,5,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.400
Bo Bichette,2022-06-03,TOR,MIN,2,SS,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Bo Bichette,2022-06-02,TOR,CHW,2,SS,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Bo Bichette,2022-06-01,TOR,CHW,2,SS,1,2,5,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-05-31,TOR,CHW,2,SS,1,4,5,2,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,.500
Bo Bichette,2022-05-29,TOR,@LAA,3,SS,1,6,6,2,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,.333
Bo Bichette,2022-05-28,TOR,@LAA,2,SS,1,5,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.400
Bo Bichette,2022-05-27,TOR,@LAA,4,SS,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Bo Bichette,2022-05-26,TOR,@LAA,4,SS,1,4,4,2,1,1,0,0,0,2,0,0,2,0,0,0,0,0,1,.500
Bo Bichette,2022-05-24,TOR,@STL,4,SS,1,5,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.400
Bo Bichette,2022-05-23,TOR,@STL,4,SS,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-05-22,TOR,CIN,3,SS,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Bo Bichette,2022-05-21,TOR,CIN,2,SS,1,4,4,2,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,.500
Bo Bichette,2022-05-20,TOR,CIN,2,SS,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Bo Bichette,2022-05-18,TOR,SEA,2,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-05-17,TOR,SEA,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Bo Bichette,2022-05-16,TOR,SEA,2,SS,1,5,5,3,2,0,0,1,2,2,0,0,1,0,0,0,0,0,0,.600
Bo Bichette,2022-05-15,TOR,@TBR,4,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Bo Bichette,2022-05-14,TOR,@TBR,4,SS,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Bo Bichette,2022-05-13,TOR,@TBR,2,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bo Bichette,2022-05-11,TOR,@NYY,2,SS,1,5,5,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.600
Bo Bichette,2022-05-10,TOR,@NYY,2,SS,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.250
Bo Bichette,2022-05-08,TOR,@CLE,2,SS,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
