Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Bobby Dalbec,2022-07-11,BOS,@TBR,9,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bobby Dalbec,2022-07-10,BOS,NYY,9,3B-1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bobby Dalbec,2022-07-09,BOS,NYY,7,3B,1,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.333
Bobby Dalbec,2022-07-08,BOS,NYY,9,1B-3B,1,3,4,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.333
Bobby Dalbec,2022-07-05,BOS,TBR,9,1B,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Bobby Dalbec,2022-07-04,BOS,TBR,9,1B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Bobby Dalbec,2022-07-03,BOS,@CHC,8,1B,1,5,5,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,.200
Bobby Dalbec,2022-06-29,BOS,@TOR,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-28,BOS,@TOR,8,PH-1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-27,BOS,@TOR,9,1B,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.500
Bobby Dalbec,2022-06-26,BOS,@CLE,7,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Bobby Dalbec,2022-06-25,BOS,@CLE,7,1B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-24,BOS,@CLE,6,PH-1B,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-22,BOS,DET,8,1B,1,3,4,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.333
Bobby Dalbec,2022-06-21,BOS,DET,7,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-20,BOS,DET,1,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-19,BOS,STL,9,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Bobby Dalbec,2022-06-18,BOS,STL,7,1B,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Bobby Dalbec,2022-06-17,BOS,STL,1,PH-1B,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Bobby Dalbec,2022-06-16,BOS,OAK,1,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-14,BOS,OAK,8,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Bobby Dalbec,2022-06-12,BOS,@SEA,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Bobby Dalbec,2022-06-11,BOS,@SEA,8,1B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Bobby Dalbec,2022-06-10,BOS,@SEA,9,1B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Bobby Dalbec,2022-06-09,BOS,@LAA,8,1B,1,3,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.333
Bobby Dalbec,2022-06-08,BOS,@LAA,7,3B,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Bobby Dalbec,2022-06-07,BOS,@LAA,9,1B,1,5,5,2,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,.400
Bobby Dalbec,2022-06-06,BOS,@LAA,1,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Bobby Dalbec,2022-06-05,BOS,@OAK,9,1B,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
