Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Brett Phillips,2022-07-11,TBR,BOS,9,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Brett Phillips,2022-07-10,TBR,@CIN,9,CF,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
Brett Phillips,2022-07-09,TBR,@CIN,7,PR-CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000
Brett Phillips,2022-07-04,TBR,@BOS,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-07-03,TBR,@TOR,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-07-02,TBR,@TOR,9,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-07-01,TBR,@TOR,9,RF-P,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Brett Phillips,2022-06-28,TBR,MIL,9,CF,1,2,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-06-26,TBR,PIT,5,PR-CF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-06-25,TBR,PIT,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-24,TBR,PIT,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-21,TBR,NYY,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-20,TBR,NYY,6,CF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-19,TBR,@BAL,7,RF,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667
Brett Phillips,2022-06-17,TBR,@BAL,6,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Brett Phillips,2022-06-16,TBR,@NYY,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-15,TBR,@NYY,7,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-14,TBR,@NYY,7,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Brett Phillips,2022-06-12,TBR,@MIN,8,RF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-11,TBR,@MIN,7,RF,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Brett Phillips,2022-06-10,TBR,@MIN,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-06-09,TBR,STL,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-08,TBR,STL,2,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-06-07,TBR,STL,6,RF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-06-04,TBR,CHW,7,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-06-03,TBR,CHW,3,PR-RF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-06-02,TBR,@TEX,9,CF-RF,1,3,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000
Brett Phillips,2022-06-01,TBR,@TEX,7,RF-CF,1,4,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,.000
Brett Phillips,2022-05-30,TBR,@TEX,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-05-29,TBR,NYY,7,RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-05-28,TBR,NYY,8,RF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-05-24,TBR,MIA,6,RF,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Brett Phillips,2022-05-22,TBR,@BAL,7,RF,1,3,4,3,1,2,0,0,1,0,1,0,0,0,0,0,0,2,0,1.000
Brett Phillips,2022-05-21,TBR,@BAL,7,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Brett Phillips,2022-05-20,TBR,@BAL,9,RF,1,5,5,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,.200
Brett Phillips,2022-05-18,TBR,DET,9,CF,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.333
Brett Phillips,2022-05-17,TBR,DET,9,RF,1,3,4,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,.333
Brett Phillips,2022-05-16,TBR,DET,9,RF,1,3,3,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1.000
Brett Phillips,2022-05-15,TBR,TOR,8,CF-RF,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Brett Phillips,2022-05-14,TBR,TOR,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-05-13,TBR,TOR,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-05-11,TBR,@LAA,9,RF,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000
Brett Phillips,2022-05-10,TBR,@LAA,2,RF-P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-05-09,TBR,@LAA,8,RF-LF-CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-05-08,TBR,@SEA,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Brett Phillips,2022-05-07,TBR,@SEA,1,RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-05-06,TBR,@SEA,9,RF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Brett Phillips,2022-05-04,TBR,@OAK,9,CF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Brett Phillips,2022-05-03,TBR,@OAK,8,RF-CF,1,4,5,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,.250
Brett Phillips,2022-05-01,TBR,MIN,8,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-04-29,TBR,MIN,8,RF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-04-28,TBR,SEA,8,CF-RF,1,3,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.667
Brett Phillips,2022-04-23,TBR,BOS,8,RF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Brett Phillips,2022-04-22,TBR,BOS,8,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-04-20,TBR,@CHC,9,RF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Brett Phillips,2022-04-18,TBR,@CHC,8,RF,1,3,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.333
Brett Phillips,2022-04-16,TBR,@CHW,7,CF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
Brett Phillips,2022-04-15,TBR,@CHW,6,RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Brett Phillips,2022-04-12,TBR,OAK,7,CF,1,4,5,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.250
Brett Phillips,2022-04-11,TBR,OAK,9,RF-P,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Brett Phillips,2022-04-09,TBR,BAL,9,RF,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Brett Phillips,2022-04-08,TBR,BAL,8,PH-RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Brett Phillips,2021-10-03,TBR,@NYY,5,LF-CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
