Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Bryan Reynolds,2022-07-10,PIT,@MIL,2,CF,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Bryan Reynolds,2022-07-09,PIT,@MIL,8,PH-CF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bryan Reynolds,2022-07-08,PIT,@MIL,2,CF,1,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.750
Bryan Reynolds,2022-07-07,PIT,@CIN,2,CF,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Bryan Reynolds,2022-07-07,PIT,@CIN,2,DH,1,1,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,.000
Bryan Reynolds,2022-07-06,PIT,NYY,2,CF,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.667
Bryan Reynolds,2022-07-05,PIT,NYY,2,CF,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Bryan Reynolds,2022-07-03,PIT,MIL,2,CF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Bryan Reynolds,2022-07-02,PIT,MIL,2,CF,1,3,4,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,.333
Bryan Reynolds,2022-07-01,PIT,MIL,2,CF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-30,PIT,MIL,2,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Bryan Reynolds,2022-06-29,PIT,@WSN,2,CF,1,5,5,3,0,0,0,3,3,6,0,0,1,0,0,0,0,0,0,.600
Bryan Reynolds,2022-06-28,PIT,@WSN,2,CF,1,2,4,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.500
Bryan Reynolds,2022-06-27,PIT,@WSN,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-26,PIT,@TBR,2,DH,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Bryan Reynolds,2022-06-25,PIT,@TBR,2,CF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Bryan Reynolds,2022-06-24,PIT,@TBR,2,CF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-23,PIT,CHC,2,CF,1,4,5,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,.250
Bryan Reynolds,2022-06-22,PIT,CHC,2,CF,1,3,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.667
Bryan Reynolds,2022-06-21,PIT,CHC,2,CF,1,3,4,1,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,.333
Bryan Reynolds,2022-06-20,PIT,CHC,2,CF,1,3,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.667
Bryan Reynolds,2022-06-19,PIT,SFG,2,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Bryan Reynolds,2022-06-18,PIT,SFG,2,CF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-17,PIT,SFG,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-15,PIT,@STL,2,CF,1,3,4,2,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,.667
Bryan Reynolds,2022-06-14,PIT,@STL,2,CF,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Bryan Reynolds,2022-06-14,PIT,@STL,2,DH,1,3,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.667
Bryan Reynolds,2022-06-13,PIT,@STL,2,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Bryan Reynolds,2022-06-12,PIT,@ATL,2,CF,1,3,4,2,1,0,0,1,1,3,0,0,1,0,1,0,0,0,1,.667
Bryan Reynolds,2022-06-11,PIT,@ATL,2,CF,1,4,4,3,1,1,0,1,2,2,0,0,1,0,0,0,0,0,0,.750
Bryan Reynolds,2022-06-10,PIT,@ATL,2,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Bryan Reynolds,2022-06-09,PIT,@ATL,2,CF,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.750
Bryan Reynolds,2022-06-08,PIT,DET,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
