Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Byron Buxton,2022-07-10,MIN,@TEX,3,DH-CF,1,4,5,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.250
Byron Buxton,2022-07-09,MIN,@TEX,1,DH,1,4,5,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,.250
Byron Buxton,2022-07-08,MIN,@TEX,3,CF,1,4,5,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.000
Byron Buxton,2022-07-06,MIN,@CHW,3,CF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Byron Buxton,2022-07-05,MIN,@CHW,2,DH,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.000
Byron Buxton,2022-07-04,MIN,@CHW,2,CF,1,5,5,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.200
Byron Buxton,2022-07-02,MIN,BAL,2,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Byron Buxton,2022-07-01,MIN,BAL,2,CF,1,4,4,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.250
Byron Buxton,2022-06-30,MIN,@CLE,2,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Byron Buxton,2022-06-29,MIN,@CLE,9,PH-CF,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Byron Buxton,2022-06-28,MIN,@CLE,1,CF,1,5,5,2,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,.400
Byron Buxton,2022-06-28,MIN,@CLE,5,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Byron Buxton,2022-06-27,MIN,@CLE,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Byron Buxton,2022-06-26,MIN,COL,2,DH,1,3,4,3,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0,1.000
Byron Buxton,2022-06-25,MIN,COL,2,CF,1,5,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,.200
Byron Buxton,2022-06-24,MIN,COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Byron Buxton,2022-06-21,MIN,CLE,2,CF,1,4,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Byron Buxton,2022-06-19,MIN,@ARI,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Byron Buxton,2022-06-17,MIN,@ARI,1,DH,1,5,5,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.400
Byron Buxton,2022-06-15,MIN,@SEA,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Byron Buxton,2022-06-14,MIN,@SEA,2,DH,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Byron Buxton,2022-06-13,MIN,@SEA,2,DH,1,5,5,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,.400
Byron Buxton,2022-06-12,MIN,TBR,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
