Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Cal Raleigh,2022-07-10,SEA,TOR,6,C,1,3,4,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,.333
Cal Raleigh,2022-07-09,SEA,TOR,6,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Cal Raleigh,2022-07-08,SEA,TOR,9,PH-C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-07-07,SEA,TOR,6,C,1,4,4,2,1,0,0,1,1,3,0,0,2,0,0,0,0,0,0,.500
Cal Raleigh,2022-07-05,SEA,@SDP,5,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Cal Raleigh,2022-07-04,SEA,@SDP,5,C,1,5,5,1,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,.200
Cal Raleigh,2022-07-03,SEA,OAK,5,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-07-02,SEA,OAK,5,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Cal Raleigh,2022-07-01,SEA,OAK,8,PH-C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-30,SEA,OAK,6,C,1,4,4,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,.500
Cal Raleigh,2022-06-29,SEA,BAL,6,C,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Cal Raleigh,2022-06-28,SEA,BAL,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-27,SEA,BAL,6,C,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-26,SEA,@LAA,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-25,SEA,@LAA,8,C,1,4,5,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,.750
Cal Raleigh,2022-06-24,SEA,@LAA,6,C,1,4,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-22,SEA,@OAK,9,C,1,4,5,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-21,SEA,@OAK,9,C,1,1,4,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1.000
Cal Raleigh,2022-06-19,SEA,LAA,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-18,SEA,LAA,9,C,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Cal Raleigh,2022-06-18,SEA,LAA,9,PH-C,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-17,SEA,LAA,8,C,1,4,4,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.500
Cal Raleigh,2022-06-16,SEA,LAA,5,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-14,SEA,MIN,6,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-13,SEA,MIN,7,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-11,SEA,BOS,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-10,SEA,BOS,9,C,1,2,4,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,.500
Cal Raleigh,2022-06-08,SEA,@HOU,9,C,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-07,SEA,@HOU,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-06,SEA,@HOU,9,C,1,4,4,2,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,.500
Cal Raleigh,2022-06-05,SEA,@TEX,6,PH-C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Cal Raleigh,2022-06-04,SEA,@TEX,9,C,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Cal Raleigh,2022-06-03,SEA,@TEX,9,C,1,3,3,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,.667
Cal Raleigh,2022-06-01,SEA,@BAL,9,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Cal Raleigh,2022-05-31,SEA,@BAL,9,C,1,4,5,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,.250
Cal Raleigh,2022-05-28,SEA,HOU,9,C,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Cal Raleigh,2022-05-27,SEA,HOU,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Cal Raleigh,2022-05-24,SEA,OAK,9,C,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,.250
Cal Raleigh,2022-05-23,SEA,OAK,9,C,1,4,4,2,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.500
