Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Charlie Culberson,2022-07-09,TEX,MIN,9,3B,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.000
Charlie Culberson,2022-07-06,TEX,@BAL,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-07-05,TEX,@BAL,7,PR-1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-07-04,TEX,@BAL,6,PR-DH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-27,TEX,@KCR,9,3B,1,4,5,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.500
Charlie Culberson,2022-06-25,TEX,WSN,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-24,TEX,WSN,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-19,TEX,@DET,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-18,TEX,@DET,1,2B,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Charlie Culberson,2022-06-17,TEX,@DET,8,LF-2B,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2022-06-16,TEX,@DET,4,PR-LF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-15,TEX,HOU,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-14,TEX,HOU,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-13,TEX,HOU,5,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.000
Charlie Culberson,2022-06-12,TEX,@CHW,8,PR-LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-11,TEX,@CHW,5,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-07,TEX,@CLE,8,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-04,TEX,SEA,8,LF,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667
Charlie Culberson,2022-06-03,TEX,SEA,1,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-02,TEX,TBR,9,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-06-01,TEX,TBR,3,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-29,TEX,@OAK,8,LF,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Charlie Culberson,2022-05-28,TEX,@OAK,8,3B-2B,1,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.400
Charlie Culberson,2022-05-27,TEX,@OAK,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Charlie Culberson,2022-05-25,TEX,@LAA,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-19,TEX,@HOU,9,3B,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Charlie Culberson,2022-05-18,TEX,LAA,6,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-17,TEX,LAA,9,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-14,TEX,BOS,9,3B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Charlie Culberson,2022-05-11,TEX,KCR,9,3B,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Charlie Culberson,2022-05-10,TEX,KCR,1,PH-3B,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-09,TEX,@NYY,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2022-05-08,TEX,@NYY,8,2B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.500
Charlie Culberson,2022-05-03,TEX,@PHI,8,3B,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Charlie Culberson,2022-05-01,TEX,ATL,8,3B,1,3,4,1,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,.333
Charlie Culberson,2022-04-25,TEX,HOU,7,3B,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-24,TEX,@OAK,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-23,TEX,@OAK,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-22,TEX,@OAK,1,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-21,TEX,@SEA,7,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-19,TEX,@SEA,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2022-04-17,TEX,LAA,7,2B,1,2,4,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,.500
Charlie Culberson,2022-04-15,TEX,LAA,8,LF,1,2,2,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,.500
Charlie Culberson,2022-04-11,TEX,COL,9,3B,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2022-04-10,TEX,@TOR,7,3B,1,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
Charlie Culberson,2021-10-02,TEX,CLE,7,PH-3B,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1.000
Charlie Culberson,2021-09-28,TEX,LAA,6,3B,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Charlie Culberson,2021-09-26,TEX,@BAL,8,3B,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-09-24,TEX,@BAL,6,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-22,TEX,@NYY,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-21,TEX,@NYY,7,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-20,TEX,@NYY,8,3B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-09-16,TEX,HOU,6,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-14,TEX,HOU,8,3B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Charlie Culberson,2021-09-13,TEX,HOU,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-11,TEX,@OAK,9,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-09-07,TEX,@ARI,8,3B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-09-04,TEX,@LAA,7,3B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2021-09-01,TEX,COL,7,3B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-08-19,TEX,SEA,7,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-08-18,TEX,SEA,6,1B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.333
Charlie Culberson,2021-08-17,TEX,SEA,7,LF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.500
Charlie Culberson,2021-08-15,TEX,OAK,7,LF,1,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Charlie Culberson,2021-08-14,TEX,OAK,7,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Charlie Culberson,2021-08-13,TEX,OAK,2,3B,1,3,5,2,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,.667
Charlie Culberson,2021-08-12,TEX,@SEA,6,LF,1,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2021-08-11,TEX,@SEA,7,LF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Charlie Culberson,2021-08-07,TEX,@OAK,6,LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Charlie Culberson,2021-08-06,TEX,@OAK,4,PR-1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000
Charlie Culberson,2021-08-03,TEX,LAA,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-08-01,TEX,SEA,2,3B,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.750
Charlie Culberson,2021-07-31,TEX,SEA,2,3B,1,3,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000
Charlie Culberson,2021-07-28,TEX,ARI,7,3B,1,3,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.333
Charlie Culberson,2021-07-25,TEX,@HOU,8,3B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-24,TEX,@HOU,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Charlie Culberson,2021-07-22,TEX,@DET,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-21,TEX,@DET,8,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-20,TEX,@DET,9,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-18,TEX,@TOR,9,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-16,TEX,@TOR,9,3B,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2021-07-09,TEX,OAK,9,3B,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2021-07-07,TEX,DET,9,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-07-03,TEX,@SEA,9,3B,1,4,4,3,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,.750
Charlie Culberson,2021-07-02,TEX,@SEA,9,SS,1,4,4,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-07-01,TEX,@OAK,9,3B,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Charlie Culberson,2021-06-25,TEX,KCR,9,3B,1,4,4,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-06-22,TEX,OAK,9,3B,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Charlie Culberson,2021-06-19,TEX,MIN,9,3B,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-06-18,TEX,MIN,8,PH-3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-06-16,TEX,@HOU,9,3B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-06-11,TEX,@LAD,7,3B-P,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Charlie Culberson,2021-06-09,TEX,SFG,7,1B,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000
Charlie Culberson,2021-06-08,TEX,SFG,7,3B,1,2,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,.000
Charlie Culberson,2021-06-06,TEX,TBR,7,2B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Charlie Culberson,2021-06-05,TEX,TBR,7,3B,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.500
Charlie Culberson,2021-06-04,TEX,TBR,7,3B,1,3,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,.000
Charlie Culberson,2021-06-03,TEX,@COL,6,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-06-02,TEX,@COL,7,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-06-01,TEX,@COL,1,2B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-30,TEX,@SEA,7,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-28,TEX,@SEA,8,3B,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.333
Charlie Culberson,2021-05-26,TEX,@LAA,3,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-25,TEX,@LAA,8,3B-RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Charlie Culberson,2021-05-22,TEX,HOU,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-20,TEX,NYY,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-19,TEX,NYY,8,3B,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-18,TEX,NYY,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-17,TEX,NYY,8,3B,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000
Charlie Culberson,2021-05-16,TEX,@HOU,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Charlie Culberson,2021-05-13,TEX,@HOU,8,3B-LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-11,TEX,@SFG,7,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Charlie Culberson,2021-05-10,TEX,@SFG,7,3B,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Charlie Culberson,2021-05-09,TEX,SEA,8,3B,1,4,4,2,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,.500
Charlie Culberson,2021-05-08,TEX,SEA,8,3B,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.000
