Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Chas McCormick,2022-07-10,HOU,@OAK,8,LF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Chas McCormick,2022-07-09,HOU,@OAK,8,CF,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.333
Chas McCormick,2022-07-07,HOU,KCR,8,RF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,.000
Chas McCormick,2022-07-06,HOU,KCR,8,LF,1,2,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-07-03,HOU,LAA,8,LF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Chas McCormick,2022-07-02,HOU,LAA,8,LF-RF,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Chas McCormick,2022-07-01,HOU,LAA,8,LF,1,3,4,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.667
Chas McCormick,2022-06-29,HOU,@NYM,3,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-06-28,HOU,@NYM,7,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-06-22,HOU,NYM,7,CF,1,3,4,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333
Chas McCormick,2022-06-19,HOU,CHW,7,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-06-17,HOU,CHW,8,CF-LF,1,3,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.333
Chas McCormick,2022-06-15,HOU,@TEX,1,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-06-14,HOU,@TEX,9,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-06-12,HOU,MIA,2,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-06-10,HOU,MIA,8,CF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-06-06,HOU,SEA,8,CF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Chas McCormick,2022-06-05,HOU,@KCR,8,LF,1,4,5,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.250
Chas McCormick,2022-06-03,HOU,@KCR,4,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-06-01,HOU,@OAK,7,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Chas McCormick,2022-05-31,HOU,@OAK,8,RF,1,4,4,3,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.750
Chas McCormick,2022-05-30,HOU,@OAK,7,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-05-28,HOU,@SEA,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-24,HOU,CLE,8,CF,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Chas McCormick,2022-05-22,HOU,TEX,8,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-05-20,HOU,TEX,8,LF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Chas McCormick,2022-05-19,HOU,TEX,7,LF,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-05-18,HOU,@BOS,7,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-17,HOU,@BOS,4,LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-16,HOU,@BOS,7,CF,1,3,4,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,.667
Chas McCormick,2022-05-15,HOU,@WSN,8,RF,1,3,4,1,0,0,0,1,2,2,1,0,1,0,0,0,0,1,0,.333
Chas McCormick,2022-05-14,HOU,@WSN,2,LF,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-05-13,HOU,@WSN,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-05-12,HOU,@MIN,6,LF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Chas McCormick,2022-05-10,HOU,@MIN,7,CF-LF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Chas McCormick,2022-05-07,HOU,DET,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-06,HOU,DET,8,CF,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.250
Chas McCormick,2022-05-05,HOU,DET,4,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-05-04,HOU,SEA,9,CF,1,2,4,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-02,HOU,SEA,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Chas McCormick,2022-05-01,HOU,@TOR,1,CF,1,4,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,.250
Chas McCormick,2022-04-30,HOU,@TOR,1,LF-CF,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.400
Chas McCormick,2022-04-29,HOU,@TOR,1,LF,1,3,6,1,1,0,0,0,1,1,2,0,1,0,1,0,0,0,0,.333
Chas McCormick,2022-04-28,HOU,@TEX,1,RF-CF,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Chas McCormick,2022-04-27,HOU,@TEX,1,CF,1,5,5,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,.400
Chas McCormick,2022-04-26,HOU,@TEX,8,LF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,.000
Chas McCormick,2022-04-25,HOU,@TEX,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Chas McCormick,2022-04-24,HOU,TOR,1,CF,1,5,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.400
Chas McCormick,2022-04-22,HOU,TOR,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Chas McCormick,2022-04-19,HOU,LAA,8,CF-LF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.500
