Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
David MacKinnon,2022-07-10,LAA,@BAL,8,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
David MacKinnon,2022-07-03,LAA,@HOU,8,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
David MacKinnon,2022-07-02,LAA,@HOU,6,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.000
David MacKinnon,2022-07-01,LAA,@HOU,2,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David MacKinnon,2022-06-28,LAA,CHW,5,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
David MacKinnon,2022-06-27,LAA,CHW,4,3B,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
David MacKinnon,2022-06-26,LAA,SEA,4,3B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
David MacKinnon,2022-06-25,LAA,SEA,9,PH-3B,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.000
David MacKinnon,2022-06-24,LAA,SEA,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
David MacKinnon,2022-06-22,LAA,KCR,4,1B,1,2,4,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,.500
David MacKinnon,2022-06-21,LAA,KCR,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
David MacKinnon,2022-06-20,LAA,KCR,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
David MacKinnon,2022-06-18,LAA,@SEA,6,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
