Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
David Peralta,2022-07-11,ARI,@SFG,5,LF,1,4,5,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,.250
David Peralta,2022-07-10,ARI,COL,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-07-08,ARI,COL,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
David Peralta,2022-07-07,ARI,COL,1,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
David Peralta,2022-07-06,ARI,SFG,5,LF,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
David Peralta,2022-07-05,ARI,SFG,1,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-07-03,ARI,@COL,3,LF,1,4,5,2,1,0,0,1,1,4,1,1,0,0,0,0,1,0,0,.500
David Peralta,2022-07-02,ARI,@COL,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-07-01,ARI,@COL,5,LF,1,5,5,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,.400
David Peralta,2022-06-29,ARI,SDP,5,LF,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
David Peralta,2022-06-28,ARI,SDP,1,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-06-26,ARI,DET,5,LF,1,4,5,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.750
David Peralta,2022-06-25,ARI,DET,5,LF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,.250
David Peralta,2022-06-24,ARI,DET,5,LF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
David Peralta,2022-06-19,ARI,MIN,5,LF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
David Peralta,2022-06-18,ARI,MIN,5,LF,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
David Peralta,2022-06-15,ARI,CIN,5,LF,1,4,4,2,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,.500
David Peralta,2022-06-14,ARI,CIN,5,LF,1,5,5,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.200
David Peralta,2022-06-13,ARI,CIN,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
David Peralta,2022-06-11,ARI,@PHI,5,LF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
David Peralta,2022-06-10,ARI,@PHI,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
David Peralta,2022-06-09,ARI,@CIN,5,LF,1,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.200
David Peralta,2022-06-07,ARI,@CIN,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-06-06,ARI,@CIN,5,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
David Peralta,2022-06-05,ARI,@PIT,5,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
David Peralta,2022-06-04,ARI,@PIT,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
David Peralta,2022-06-03,ARI,@PIT,5,LF,1,5,5,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
David Peralta,2022-06-01,ARI,ATL,5,LF,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
David Peralta,2022-05-31,ARI,ATL,5,LF,1,5,5,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.400
David Peralta,2022-05-30,ARI,ATL,4,LF,1,4,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
David Peralta,2022-05-29,ARI,LAD,9,PH,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.000
David Peralta,2022-05-28,ARI,LAD,5,LF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
David Peralta,2022-05-27,ARI,LAD,5,LF,1,4,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.250
David Peralta,2022-05-26,ARI,LAD,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
David Peralta,2022-05-24,ARI,KCR,5,LF,1,4,4,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.250
David Peralta,2022-05-23,ARI,KCR,5,LF,1,4,4,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.500
David Peralta,2022-05-22,ARI,@CHC,2,PH-LF,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
David Peralta,2022-05-21,ARI,@CHC,7,LF,1,3,5,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,.333
David Peralta,2022-05-20,ARI,@CHC,5,LF,1,4,5,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,.500
David Peralta,2022-05-19,ARI,@CHC,6,LF,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
David Peralta,2022-05-18,ARI,@LAD,6,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
David Peralta,2022-05-17,ARI,@LAD,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-05-16,ARI,@LAD,6,LF,1,3,4,1,0,0,0,1,1,2,1,0,1,0,0,0,1,0,0,.333
David Peralta,2022-05-15,ARI,CHC,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
David Peralta,2022-05-14,ARI,CHC,3,LF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
David Peralta,2022-05-11,ARI,MIA,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
David Peralta,2022-05-09,ARI,MIA,3,LF,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
