Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Diego Castillo,2022-07-11,PIT,@MIA,5,RF,1,4,4,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Diego Castillo,2022-07-10,PIT,@MIL,6,RF,1,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.200
Diego Castillo,2022-07-09,PIT,@MIL,8,RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-07-08,PIT,@MIL,5,RF,1,3,4,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,.333
Diego Castillo,2022-07-07,PIT,@CIN,7,3B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Diego Castillo,2022-07-07,PIT,@CIN,5,SS,1,3,4,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,.667
Diego Castillo,2022-07-06,PIT,NYY,1,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-07-05,PIT,NYY,9,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-07-03,PIT,MIL,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-07-02,PIT,MIL,5,2B,1,4,4,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Diego Castillo,2022-07-01,PIT,MIL,1,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-30,PIT,MIL,9,PH-2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Diego Castillo,2022-06-29,PIT,@WSN,9,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-28,PIT,@WSN,6,RF,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Diego Castillo,2022-06-26,PIT,@TBR,4,SS-RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Diego Castillo,2022-06-25,PIT,@TBR,7,2B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Diego Castillo,2022-06-24,PIT,@TBR,5,2B-RF,1,3,4,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,.333
Diego Castillo,2022-06-23,PIT,CHC,3,2B,1,5,5,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.200
Diego Castillo,2022-06-22,PIT,CHC,6,2B-P,1,4,4,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.250
Diego Castillo,2022-06-19,PIT,SFG,7,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-18,PIT,SFG,4,2B-1B,1,3,4,1,0,0,0,1,1,4,0,0,1,0,1,0,0,0,0,.333
Diego Castillo,2022-06-17,PIT,SFG,5,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-06-15,PIT,@STL,9,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-14,PIT,@STL,6,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Diego Castillo,2022-06-14,PIT,@STL,5,SS,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-06-13,PIT,@STL,6,SS,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.250
Diego Castillo,2022-06-12,PIT,@ATL,9,SS,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-11,PIT,@ATL,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-06-10,PIT,@ATL,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-09,PIT,@ATL,5,SS,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Diego Castillo,2022-06-08,PIT,DET,5,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Diego Castillo,2022-06-07,PIT,DET,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Diego Castillo,2022-06-05,PIT,ARI,6,SS,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.333
Diego Castillo,2022-06-04,PIT,ARI,8,PR-1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Diego Castillo,2022-06-03,PIT,ARI,7,SS,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000
Diego Castillo,2022-06-01,PIT,@LAD,5,SS,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Diego Castillo,2022-05-31,PIT,@LAD,4,2B,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Diego Castillo,2022-05-30,PIT,@LAD,8,2B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Diego Castillo,2022-05-29,PIT,@SDP,5,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Diego Castillo,2022-05-28,PIT,@SDP,8,PH-2B,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
