Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Edmundo Sosa,2022-07-11,STL,PHI,8,3B,1,3,3,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.333
Edmundo Sosa,2022-07-10,STL,PHI,8,3B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Edmundo Sosa,2022-07-09,STL,PHI,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-07-07,STL,@ATL,8,SS-3B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Edmundo Sosa,2022-07-06,STL,@ATL,7,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-07-05,STL,@ATL,4,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-07-04,STL,@ATL,8,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-07-01,STL,@PHI,8,SS,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
Edmundo Sosa,2022-06-29,STL,MIA,8,SS,1,4,4,2,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,.500
Edmundo Sosa,2022-06-28,STL,MIA,8,SS,1,3,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,.333
Edmundo Sosa,2022-06-27,STL,MIA,3,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-26,STL,CHC,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-25,STL,CHC,7,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-19,STL,@BOS,5,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-18,STL,@BOS,4,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-14,STL,PIT,9,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-13,STL,PIT,7,SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-11,STL,CIN,9,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-09,STL,@TBR,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-08,STL,@TBR,3,PH-3B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-07,STL,@TBR,8,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-05,STL,@CHC,8,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-04,STL,@CHC,9,3B,1,5,5,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.400
Edmundo Sosa,2022-06-03,STL,@CHC,4,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-06-01,STL,SDP,7,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-31,STL,SDP,7,SS,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Edmundo Sosa,2022-05-30,STL,SDP,8,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-29,STL,MIL,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-27,STL,MIL,6,PH-SS,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.000
Edmundo Sosa,2022-05-26,STL,MIL,8,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-24,STL,TOR,1,SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-23,STL,TOR,2,PH,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-22,STL,@PIT,6,3B,1,5,6,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.400
Edmundo Sosa,2022-05-21,STL,@PIT,8,SS,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.250
Edmundo Sosa,2022-05-18,STL,@NYM,9,SS,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,.500
Edmundo Sosa,2022-05-17,STL,@NYM,7,SS,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200
Edmundo Sosa,2022-05-17,STL,@NYM,8,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Edmundo Sosa,2022-05-15,STL,SFG,9,SS,1,5,5,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.400
