Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Emmanuel Rivera,2022-07-11,KCR,DET,8,3B,1,3,4,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-07-11,KCR,DET,5,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Emmanuel Rivera,2022-07-10,KCR,CLE,1,3B,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-07-09,KCR,CLE,2,3B,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.000
Emmanuel Rivera,2022-07-08,KCR,CLE,9,3B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-07-07,KCR,@HOU,5,3B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Emmanuel Rivera,2022-07-06,KCR,@HOU,8,3B,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-07-03,KCR,@DET,7,3B,1,4,4,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,.500
Emmanuel Rivera,2022-06-29,KCR,TEX,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-27,KCR,TEX,8,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-06-24,KCR,OAK,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-22,KCR,@LAA,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-21,KCR,@LAA,9,3B,1,4,5,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,.250
Emmanuel Rivera,2022-06-19,KCR,@OAK,9,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-18,KCR,@OAK,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-15,KCR,@SFG,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-13,KCR,@SFG,9,3B,1,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-06-12,KCR,BAL,8,3B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-06-11,KCR,BAL,8,3B,1,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-06-10,KCR,BAL,8,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-09,KCR,BAL,7,3B,1,3,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,.333
Emmanuel Rivera,2022-06-08,KCR,TOR,7,3B,1,5,5,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,.200
Emmanuel Rivera,2022-06-07,KCR,TOR,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-06-06,KCR,TOR,7,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-05,KCR,HOU,8,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-04,KCR,HOU,7,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-06-03,KCR,HOU,8,3B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-06-01,KCR,@CLE,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-31,KCR,@CLE,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-30,KCR,@CLE,8,3B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-29,KCR,@MIN,8,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-05-28,KCR,@MIN,8,3B,1,4,4,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-27,KCR,@MIN,8,3B,1,4,5,2,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,.500
Emmanuel Rivera,2022-05-26,KCR,@MIN,7,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-23,KCR,@ARI,7,3B,1,4,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,.000
Emmanuel Rivera,2022-05-22,KCR,MIN,5,3B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Emmanuel Rivera,2022-05-21,KCR,MIN,8,3B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Emmanuel Rivera,2022-05-20,KCR,MIN,7,3B,1,4,4,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.500
Emmanuel Rivera,2022-05-19,KCR,CHW,6,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Emmanuel Rivera,2022-05-18,KCR,CHW,7,3B,1,4,4,2,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,.500
