Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Ernie Clement,2022-07-10,CLE,@KCR,7,2B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Ernie Clement,2022-07-09,CLE,@KCR,4,3B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Ernie Clement,2022-07-06,CLE,@DET,7,2B,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Ernie Clement,2022-07-05,CLE,@DET,3,3B,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Ernie Clement,2022-07-04,CLE,@DET,7,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Ernie Clement,2022-07-03,CLE,NYY,7,LF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Ernie Clement,2022-07-02,CLE,NYY,9,LF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-07-02,CLE,NYY,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-30,CLE,MIN,8,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-28,CLE,MIN,8,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-27,CLE,MIN,3,PR-3B-P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-26,CLE,BOS,7,LF,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,.000
Ernie Clement,2022-06-23,CLE,@MIN,7,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-22,CLE,@MIN,4,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-19,CLE,@LAD,8,3B,1,4,5,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.500
Ernie Clement,2022-06-18,CLE,@LAD,7,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ernie Clement,2022-06-15,CLE,@COL,7,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-14,CLE,@COL,5,PR-1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-12,CLE,OAK,7,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-06-09,CLE,OAK,8,3B,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Ernie Clement,2022-06-07,CLE,TEX,7,2B,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Ernie Clement,2022-06-05,CLE,@BAL,7,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ernie Clement,2022-06-03,CLE,@BAL,7,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ernie Clement,2022-05-31,CLE,KCR,6,3B,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
Ernie Clement,2022-05-30,CLE,KCR,5,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-28,CLE,@DET,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-26,CLE,@DET,7,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ernie Clement,2022-05-25,CLE,@HOU,7,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Ernie Clement,2022-05-24,CLE,@HOU,8,LF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Ernie Clement,2022-05-20,CLE,DET,8,LF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.333
Ernie Clement,2022-05-19,CLE,CIN,3,PR-3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-17,CLE,CIN,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-14,CLE,@MIN,6,PR-DH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-09,CLE,@CHW,6,PR-DH,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-05-07,CLE,TOR,9,3B,1,2,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.500
Ernie Clement,2022-05-04,CLE,SDP,9,3B,1,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.333
Ernie Clement,2022-05-01,CLE,@OAK,5,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-04-30,CLE,@OAK,9,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Ernie Clement,2022-04-29,CLE,@OAK,7,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Ernie Clement,2022-04-28,CLE,@LAA,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-04-27,CLE,@LAA,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-04-26,CLE,@LAA,7,LF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Ernie Clement,2022-04-24,CLE,@NYY,2,LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Ernie Clement,2022-04-23,CLE,@NYY,7,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
