Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Evan White,2021-05-13,SEA,CLE,9,1B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2021-05-12,SEA,@LAD,8,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-05-11,SEA,@LAD,8,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2021-05-09,SEA,@TEX,8,1B,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Evan White,2021-05-08,SEA,@TEX,8,1B,1,4,4,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,.500
Evan White,2021-05-07,SEA,@TEX,8,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-05-05,SEA,BAL,6,1B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Evan White,2021-05-04,SEA,BAL,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-04-29,SEA,@HOU,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-04-28,SEA,@HOU,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-04-26,SEA,@HOU,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2021-04-25,SEA,@BOS,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2021-04-24,SEA,@BOS,5,1B,1,4,5,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.500
Evan White,2021-04-23,SEA,@BOS,5,1B,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.250
Evan White,2021-04-22,SEA,@BOS,5,1B,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2021-04-20,SEA,LAD,4,1B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Evan White,2021-04-19,SEA,LAD,5,1B,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Evan White,2021-04-18,SEA,HOU,5,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Evan White,2021-04-17,SEA,HOU,6,1B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Evan White,2021-04-16,SEA,HOU,5,1B,1,4,4,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.500
Evan White,2021-04-15,SEA,@BAL,6,1B,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Evan White,2021-04-15,SEA,@BAL,9,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2021-04-13,SEA,@BAL,8,1B,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Evan White,2021-04-11,SEA,@MIN,2,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2021-04-07,SEA,CHW,4,1B,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Evan White,2021-04-06,SEA,CHW,4,1B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Evan White,2021-04-05,SEA,CHW,4,1B,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Evan White,2021-04-03,SEA,SFG,4,1B,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Evan White,2021-04-02,SEA,SFG,4,1B,1,4,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.250
Evan White,2021-04-01,SEA,SFG,4,1B,1,5,5,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,.200
Evan White,2020-09-27,SEA,@OAK,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Evan White,2020-09-26,SEA,OAK,6,1B,1,4,4,3,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,.750
Evan White,2020-09-26,SEA,@OAK,6,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2020-09-25,SEA,@OAK,6,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-23,SEA,HOU,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Evan White,2020-09-22,SEA,HOU,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2020-09-21,SEA,HOU,8,1B,1,3,3,1,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,.333
Evan White,2020-09-20,SEA,SDP,7,1B,1,3,4,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.333
Evan White,2020-09-19,SEA,SDP,8,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,.250
Evan White,2020-09-18,SEA,SDP,8,1B,1,3,3,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.667
Evan White,2020-09-17,SEA,SFG,8,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-16,SEA,SFG,7,1B,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Evan White,2020-09-14,SEA,OAK,5,1B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-14,SEA,OAK,5,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-13,SEA,@ARI,5,1B,1,5,5,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,.200
Evan White,2020-09-12,SEA,@ARI,6,1B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Evan White,2020-09-11,SEA,@ARI,5,1B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-09,SEA,@SFG,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2020-09-08,SEA,@SFG,7,1B,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.500
Evan White,2020-09-07,SEA,TEX,6,1B,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Evan White,2020-09-06,SEA,TEX,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2020-09-05,SEA,TEX,7,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Evan White,2020-09-04,SEA,TEX,7,1B,1,2,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,1.000
Evan White,2020-08-31,SEA,@LAA,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Evan White,2020-08-30,SEA,@LAA,6,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Evan White,2020-08-27,SEA,@SDP,6,1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2020-08-25,SEA,@SDP,6,1B,1,4,5,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,.750
Evan White,2020-08-23,SEA,TEX,6,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2020-08-22,SEA,TEX,6,1B,1,5,5,2,0,1,0,1,1,6,0,0,2,0,0,0,0,0,0,.400
Evan White,2020-08-19,SEA,LAD,6,1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2020-08-18,SEA,@LAD,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Evan White,2020-08-17,SEA,@LAD,7,1B,1,4,4,2,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,.500
Evan White,2020-08-16,SEA,@HOU,7,1B,1,2,4,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,1,.000
Evan White,2020-08-15,SEA,@HOU,8,1B,1,2,3,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.500
Evan White,2020-08-14,SEA,@HOU,8,1B,1,4,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Evan White,2020-08-12,SEA,@TEX,8,1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Evan White,2020-08-11,SEA,@TEX,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
