Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Gavin Lux,2022-07-10,LAD,CHC,9,LF-2B,1,3,5,2,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,.667
Gavin Lux,2022-07-09,LAD,CHC,7,2B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.500
Gavin Lux,2022-07-08,LAD,CHC,9,LF,1,3,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,.333
Gavin Lux,2022-07-07,LAD,CHC,9,2B,1,3,3,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.333
Gavin Lux,2022-07-06,LAD,COL,8,LF,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Gavin Lux,2022-07-05,LAD,COL,9,2B,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,.500
Gavin Lux,2022-07-04,LAD,COL,6,2B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Gavin Lux,2022-07-03,LAD,SDP,9,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Gavin Lux,2022-07-02,LAD,SDP,9,LF,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Gavin Lux,2022-06-30,LAD,SDP,9,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Gavin Lux,2022-06-29,LAD,@COL,8,2B,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Gavin Lux,2022-06-28,LAD,@COL,8,LF-2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Gavin Lux,2022-06-27,LAD,@COL,8,2B,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.667
Gavin Lux,2022-06-26,LAD,@ATL,7,2B,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Gavin Lux,2022-06-24,LAD,@ATL,7,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Gavin Lux,2022-06-23,LAD,@CIN,7,LF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Gavin Lux,2022-06-22,LAD,@CIN,9,2B,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Gavin Lux,2022-06-21,LAD,@CIN,9,2B,1,3,4,2,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,.667
Gavin Lux,2022-06-19,LAD,CLE,9,2B,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Gavin Lux,2022-06-18,LAD,CLE,8,LF,1,3,4,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,.333
Gavin Lux,2022-06-17,LAD,CLE,9,2B-LF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Gavin Lux,2022-06-15,LAD,LAA,9,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Gavin Lux,2022-06-14,LAD,LAA,9,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Gavin Lux,2022-06-12,LAD,@SFG,6,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Gavin Lux,2022-06-11,LAD,@SFG,9,2B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Gavin Lux,2022-06-10,LAD,@SFG,9,2B,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Gavin Lux,2022-06-09,LAD,@CHW,8,LF,1,4,5,4,3,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1.000
Gavin Lux,2022-06-08,LAD,@CHW,9,2B,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Gavin Lux,2022-06-07,LAD,@CHW,9,2B,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.500
