Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Hanser Alberto,2022-07-10,LAD,CHC,8,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-07-04,LAD,COL,9,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-28,LAD,@COL,6,2B,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
Hanser Alberto,2022-06-25,LAD,@ATL,7,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-18,LAD,CLE,4,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-17,LAD,CLE,8,PH-2B,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Hanser Alberto,2022-06-12,LAD,@SFG,8,2B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-11,LAD,@SFG,6,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Hanser Alberto,2022-06-08,LAD,@CHW,8,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-07,LAD,@CHW,7,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-04,LAD,NYM,6,3B,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Hanser Alberto,2022-06-02,LAD,NYM,5,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-06-01,LAD,PIT,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Hanser Alberto,2022-05-30,LAD,PIT,9,2B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Hanser Alberto,2022-05-29,LAD,@ARI,5,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-28,LAD,@ARI,9,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-27,LAD,@ARI,8,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Hanser Alberto,2022-05-26,LAD,@ARI,3,2B-P,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-25,LAD,@WSN,8,RF,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Hanser Alberto,2022-05-23,LAD,@WSN,3,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-20,LAD,@PHI,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Hanser Alberto,2022-05-17,LAD,ARI,3,PR-2B-P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-17,LAD,ARI,9,2B,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.500
Hanser Alberto,2022-05-14,LAD,PHI,8,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-12,LAD,PHI,9,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-10,LAD,@PIT,2,2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-09,LAD,@PIT,7,3B,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Hanser Alberto,2022-05-07,LAD,@CHC,9,2B,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.000
Hanser Alberto,2022-05-07,LAD,@CHC,2,2B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
