Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Hunter Renfroe,2022-06-22,MIL,STL,5,RF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Hunter Renfroe,2022-06-21,MIL,STL,5,DH,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Hunter Renfroe,2022-06-20,MIL,STL,5,RF,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Hunter Renfroe,2022-06-19,MIL,@CIN,4,RF,1,4,5,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2022-06-18,MIL,@CIN,4,RF,1,5,5,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.200
Hunter Renfroe,2022-06-17,MIL,@CIN,5,RF,1,4,4,1,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,.250
Hunter Renfroe,2022-06-16,MIL,@NYM,7,RF,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Hunter Renfroe,2022-06-15,MIL,@NYM,4,RF,1,1,5,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1.000
Hunter Renfroe,2022-06-14,MIL,@NYM,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Hunter Renfroe,2022-06-12,MIL,@WSN,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-06-11,MIL,@WSN,4,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Hunter Renfroe,2022-06-10,MIL,@WSN,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Hunter Renfroe,2022-06-09,MIL,PHI,7,RF,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.250
Hunter Renfroe,2022-06-08,MIL,PHI,7,RF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Hunter Renfroe,2022-06-07,MIL,PHI,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-23,MIL,@SDP,6,RF,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-22,MIL,WSN,5,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2022-05-21,MIL,WSN,4,RF,1,3,4,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.333
Hunter Renfroe,2022-05-20,MIL,WSN,6,RF,1,3,4,3,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1.000
Hunter Renfroe,2022-05-18,MIL,ATL,4,RF,1,3,5,2,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,.667
Hunter Renfroe,2022-05-17,MIL,ATL,4,RF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Hunter Renfroe,2022-05-16,MIL,ATL,5,RF,1,2,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.500
Hunter Renfroe,2022-05-15,MIL,@MIA,6,RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Hunter Renfroe,2022-05-14,MIL,@MIA,4,RF,1,4,4,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.500
Hunter Renfroe,2022-05-13,MIL,@MIA,6,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2022-05-11,MIL,@CIN,6,RF,1,5,5,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,.400
Hunter Renfroe,2022-05-09,MIL,@CIN,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-08,MIL,@ATL,5,DH,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-07,MIL,@ATL,4,RF,1,3,4,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,.333
Hunter Renfroe,2022-05-06,MIL,@ATL,7,RF,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Hunter Renfroe,2022-05-05,MIL,CIN,5,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-04,MIL,CIN,6,RF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250
Hunter Renfroe,2022-05-03,MIL,CIN,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-05-01,MIL,CHC,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Hunter Renfroe,2022-04-30,MIL,CHC,4,RF,1,5,5,3,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,.600
Hunter Renfroe,2022-04-29,MIL,CHC,6,RF,1,4,4,2,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,.500
Hunter Renfroe,2022-04-28,MIL,@PIT,3,RF,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-27,MIL,@PIT,4,RF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Hunter Renfroe,2022-04-25,MIL,SFG,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-24,MIL,@PHI,5,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-23,MIL,@PHI,6,RF,1,4,4,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.750
Hunter Renfroe,2022-04-22,MIL,@PHI,4,RF,1,3,4,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,.000
Hunter Renfroe,2022-04-20,MIL,PIT,5,RF,1,3,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Hunter Renfroe,2022-04-19,MIL,PIT,6,RF,1,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.333
Hunter Renfroe,2022-04-18,MIL,PIT,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-16,MIL,STL,3,RF,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Hunter Renfroe,2022-04-15,MIL,STL,6,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Hunter Renfroe,2022-04-14,MIL,STL,6,RF,1,4,4,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,.250
Hunter Renfroe,2022-04-13,MIL,@BAL,4,RF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2022-04-12,MIL,@BAL,6,RF,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Hunter Renfroe,2022-04-11,MIL,@BAL,4,RF-1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-10,MIL,@CHC,6,RF,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2022-04-09,MIL,@CHC,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Hunter Renfroe,2022-04-07,MIL,@CHC,6,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2021-10-03,BOS,@WSN,7,CF-RF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Hunter Renfroe,2021-10-02,BOS,@WSN,7,CF-RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Hunter Renfroe,2021-10-01,BOS,@WSN,6,CF-RF,1,4,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.250
Hunter Renfroe,2021-09-30,BOS,@BAL,6,RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Hunter Renfroe,2021-09-29,BOS,@BAL,2,RF,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.200
Hunter Renfroe,2021-09-28,BOS,@BAL,2,RF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Hunter Renfroe,2021-09-26,BOS,NYY,2,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Hunter Renfroe,2021-09-25,BOS,NYY,2,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Hunter Renfroe,2021-09-24,BOS,NYY,7,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Hunter Renfroe,2021-09-22,BOS,NYM,7,RF,1,4,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,.500
Hunter Renfroe,2021-09-21,BOS,NYM,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-19,BOS,BAL,2,RF,1,4,4,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.500
Hunter Renfroe,2021-09-18,BOS,BAL,2,RF,1,5,5,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,.200
Hunter Renfroe,2021-09-17,BOS,BAL,2,RF,1,4,5,1,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2021-09-15,BOS,@SEA,2,RF,1,4,5,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.250
Hunter Renfroe,2021-09-14,BOS,@SEA,2,RF,1,4,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-13,BOS,@SEA,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-12,BOS,@CHW,3,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-11,BOS,@CHW,5,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.200
Hunter Renfroe,2021-09-10,BOS,@CHW,3,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-08,BOS,TBR,2,RF,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Hunter Renfroe,2021-09-07,BOS,TBR,5,RF,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Hunter Renfroe,2021-09-06,BOS,TBR,3,RF,1,5,6,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,.600
Hunter Renfroe,2021-09-05,BOS,CLE,2,RF,1,5,5,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.600
Hunter Renfroe,2021-09-04,BOS,CLE,5,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Hunter Renfroe,2021-09-03,BOS,CLE,5,RF,1,4,4,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.250
