Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jake Marisnick,2022-07-11,PIT,@MIA,8,CF,1,3,4,2,0,1,0,1,2,2,1,0,1,0,0,0,0,1,0,.667
Jake Marisnick,2022-05-09,PIT,LAD,8,CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-05-07,PIT,@CIN,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-05-07,PIT,@CIN,8,LF,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,.333
Jake Marisnick,2022-05-04,PIT,@DET,9,LF,1,3,4,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,.333
Jake Marisnick,2022-05-01,PIT,SDP,7,LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-30,PIT,SDP,9,LF,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-29,PIT,SDP,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-27,PIT,MIL,9,LF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-26,PIT,MIL,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-24,PIT,@CHC,8,CF-RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Jake Marisnick,2022-04-23,PIT,@CHC,1,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-22,PIT,@CHC,8,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Jake Marisnick,2022-04-21,PIT,@CHC,7,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-20,PIT,@MIL,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-18,PIT,@MIL,7,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-17,PIT,WSN,1,CF,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.000
Jake Marisnick,2022-04-16,PIT,WSN,7,LF,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Jake Marisnick,2022-04-14,PIT,WSN,9,LF,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2022-04-13,PIT,CHC,9,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2022-04-12,PIT,CHC,7,LF,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Jake Marisnick,2022-04-10,PIT,@STL,7,RF,1,5,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.400
Jake Marisnick,2022-04-09,PIT,@STL,6,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-10-03,SDP,@SFG,7,LF,1,3,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333
Jake Marisnick,2021-10-02,SDP,@SFG,7,LF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2021-10-01,SDP,@SFG,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-30,SDP,@LAD,7,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-29,SDP,@LAD,7,PH-LF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-28,SDP,@LAD,9,CF,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Jake Marisnick,2021-09-26,SDP,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Jake Marisnick,2021-09-25,SDP,ATL,9,PH-LF,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,.500
Jake Marisnick,2021-09-24,SDP,ATL,5,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-23,SDP,SFG,1,LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-22,SDP,SFG,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-09-21,SDP,SFG,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-18,SDP,@STL,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-16,SDP,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-15,SDP,@SFG,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-14,SDP,@SFG,9,PH,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-09-13,SDP,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-09-12,SDP,@LAD,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-30,SDP,@ARI,6,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-28,SDP,@LAA,9,LF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-27,SDP,@LAA,9,LF,1,4,4,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,.250
Jake Marisnick,2021-08-25,SDP,LAD,7,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-21,SDP,PHI,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-15,SDP,@ARI,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-14,SDP,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-12,SDP,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-10,SDP,MIA,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-09,SDP,MIA,9,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-08,SDP,ARI,8,CF-RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Jake Marisnick,2021-08-07,SDP,ARI,9,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-08-04,SDP,@OAK,9,RF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Jake Marisnick,2021-08-03,SDP,@OAK,9,LF,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250
Jake Marisnick,2021-08-01,SDP,COL,7,CF-LF,1,3,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,.000
Jake Marisnick,2021-07-27,CHC,CIN,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-26,CHC,CIN,7,CF,1,3,4,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,.667
Jake Marisnick,2021-07-25,CHC,ARI,6,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jake Marisnick,2021-07-24,CHC,ARI,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-22,CHC,@STL,5,CF,1,4,4,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
Jake Marisnick,2021-07-21,SDP,@ATL,9,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-21,CHC,@STL,1,PH-CF,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Jake Marisnick,2021-07-20,CHC,@STL,8,PH-CF,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-19,CHC,@STL,5,PH-CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-18,CHC,@ARI,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Jake Marisnick,2021-07-17,CHC,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-16,CHC,@ARI,5,CF,1,2,4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,.000
Jake Marisnick,2021-07-10,CHC,STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-09,CHC,STL,5,CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-08,CHC,PHI,9,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-07,CHC,PHI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-06,CHC,PHI,9,PH-CF,1,1,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1.000
Jake Marisnick,2021-07-05,CHC,PHI,7,CF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Jake Marisnick,2021-07-04,CHC,@CIN,7,CF,1,4,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.500
Jake Marisnick,2021-07-03,CHC,@CIN,6,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-07-02,CHC,@CIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-30,CHC,@MIL,5,CF,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,.250
Jake Marisnick,2021-06-29,CHC,@MIL,9,PH-CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-28,CHC,@MIL,9,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-27,CHC,@LAD,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-26,CHC,@LAD,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-25,CHC,@LAD,8,PH-CF,1,2,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2021-06-24,CHC,@LAD,9,PH-CF,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-06-22,CHC,CLE,6,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-20,CHC,MIA,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-06-19,CHC,MIA,3,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-18,CHC,MIA,9,PH-CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-17,CHC,@NYM,7,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-15,CHC,@NYM,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-14,CHC,@NYM,5,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Jake Marisnick,2021-06-13,CHC,STL,9,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-11,CHC,STL,9,PH-CF,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-06-09,CHC,@SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-06-07,CHC,@SDP,5,CF,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Jake Marisnick,2021-05-09,CHC,PIT,7,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-05-08,CHC,PIT,3,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-05-05,CHC,LAD,8,CF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Jake Marisnick,2021-05-04,CHC,LAD,7,PR-CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-05-04,CHC,LAD,7,CF,1,1,3,1,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,1.000
Jake Marisnick,2021-05-02,CHC,@CIN,9,PH,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000
Jake Marisnick,2021-05-01,CHC,@CIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-30,CHC,@CIN,6,CF,1,4,5,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,.250
Jake Marisnick,2021-04-29,CHC,@ATL,7,CF,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.200
Jake Marisnick,2021-04-28,CHC,@ATL,7,CF,1,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jake Marisnick,2021-04-27,CHC,@ATL,7,CF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Jake Marisnick,2021-04-26,CHC,@ATL,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-24,CHC,MIL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-23,CHC,MIL,7,CF,1,4,5,2,0,1,0,1,3,5,0,0,0,1,0,0,0,0,0,.500
Jake Marisnick,2021-04-22,CHC,NYM,8,CF,1,2,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2021-04-21,CHC,NYM,8,CF,1,5,5,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.200
Jake Marisnick,2021-04-20,CHC,NYM,9,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-18,CHC,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-17,CHC,ATL,2,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-16,CHC,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-14,CHC,@MIL,9,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-13,CHC,@MIL,9,PH-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-08,CHC,@PIT,6,CF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.500
Jake Marisnick,2021-04-07,CHC,MIL,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-05,CHC,MIL,7,CF,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,.000
Jake Marisnick,2021-04-04,CHC,PIT,9,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Marisnick,2021-04-03,CHC,PIT,6,CF,1,4,4,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,.250
Jake Marisnick,2020-09-18,NYM,ATL,7,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2020-09-16,NYM,@PHI,9,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2020-09-12,NYM,@TOR,7,CF,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Jake Marisnick,2020-09-11,NYM,@TOR,2,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2020-09-08,NYM,BAL,6,CF,1,4,4,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2020-09-03,NYM,NYY,7,CF,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Jake Marisnick,2020-09-02,NYM,@BAL,8,CF,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
Jake Marisnick,2020-08-31,NYM,MIA,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Marisnick,2020-08-30,NYM,NYY,8,CF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
