Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jake Rogers,2021-07-18,DET,MIN,8,C,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jake Rogers,2021-07-17,DET,MIN,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Rogers,2021-07-17,DET,MIN,8,C,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Jake Rogers,2021-07-11,DET,@MIN,9,C,1,2,4,1,0,0,0,1,2,4,2,0,1,0,0,0,0,0,0,.500
Jake Rogers,2021-07-09,DET,@MIN,9,C,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jake Rogers,2021-07-08,DET,@MIN,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Rogers,2021-07-07,DET,@TEX,9,C,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Jake Rogers,2021-07-06,DET,@TEX,9,C,1,4,4,2,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,.500
Jake Rogers,2021-07-03,DET,CHW,9,C,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jake Rogers,2021-07-02,DET,CHW,9,C,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Jake Rogers,2021-06-30,DET,@CLE,9,C,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Jake Rogers,2021-06-28,DET,@CLE,9,C,1,3,3,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.333
Jake Rogers,2021-06-27,DET,HOU,9,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jake Rogers,2021-06-26,DET,HOU,8,C,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Jake Rogers,2021-06-23,DET,STL,9,C,1,2,4,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,.000
Jake Rogers,2021-06-22,DET,STL,9,C,1,4,4,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,.500
Jake Rogers,2021-06-20,DET,@LAA,9,C,1,5,5,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,.200
Jake Rogers,2021-06-19,DET,@LAA,8,C,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Jake Rogers,2021-06-16,DET,@KCR,9,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Rogers,2021-06-15,DET,@KCR,9,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Rogers,2021-06-13,DET,CHW,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Rogers,2021-06-12,DET,CHW,1,P-3B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Rogers,2021-06-11,DET,CHW,9,C,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Jake Rogers,2021-06-10,DET,SEA,8,C,1,4,4,2,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,.500
Jake Rogers,2021-06-09,DET,SEA,8,C,1,2,4,1,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,.500
Jake Rogers,2021-06-05,DET,@CHW,8,C,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.333
Jake Rogers,2021-06-03,DET,@CHW,9,C,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Rogers,2021-05-31,DET,@MIL,8,C,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Jake Rogers,2021-05-28,DET,NYY,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jake Rogers,2021-05-26,DET,CLE,9,C,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Jake Rogers,2021-05-25,DET,CLE,9,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jake Rogers,2021-05-23,DET,@KCR,9,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jake Rogers,2021-05-21,DET,@KCR,9,C,1,4,4,2,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.500
Jake Rogers,2021-05-17,DET,@SEA,9,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jake Rogers,2021-05-14,DET,CHC,9,C,1,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Jake Rogers,2021-05-12,DET,KCR,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jake Rogers,2021-05-11,DET,KCR,9,PH-C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jake Rogers,2021-05-08,DET,MIN,9,C,1,4,4,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
