Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jared Walsh,2022-07-09,LAA,@BAL,5,1B,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Jared Walsh,2022-07-08,LAA,@BAL,5,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jared Walsh,2022-07-07,LAA,@BAL,5,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jared Walsh,2022-07-06,LAA,@MIA,7,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jared Walsh,2022-07-05,LAA,@MIA,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jared Walsh,2022-07-03,LAA,@HOU,8,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jared Walsh,2022-07-02,LAA,@HOU,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jared Walsh,2022-07-01,LAA,@HOU,4,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jared Walsh,2022-06-29,LAA,CHW,4,1B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jared Walsh,2022-06-28,LAA,CHW,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jared Walsh,2022-06-27,LAA,CHW,5,1B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250
Jared Walsh,2022-06-26,LAA,SEA,5,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jared Walsh,2022-06-25,LAA,SEA,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Jared Walsh,2022-06-24,LAA,SEA,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jared Walsh,2022-06-22,LAA,KCR,3,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jared Walsh,2022-06-21,LAA,KCR,4,1B,1,6,6,3,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,.500
Jared Walsh,2022-06-20,LAA,KCR,5,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jared Walsh,2022-06-19,LAA,@SEA,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jared Walsh,2022-06-18,LAA,@SEA,6,PH-1B,1,2,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1.000
Jared Walsh,2022-06-18,LAA,@SEA,4,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jared Walsh,2022-06-16,LAA,@SEA,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jared Walsh,2022-06-15,LAA,@LAD,5,1B,1,3,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333
