Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jarren Duran,2022-07-11,BOS,@TBR,1,CF,1,5,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,.200
Jarren Duran,2022-07-10,BOS,NYY,1,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jarren Duran,2022-07-09,BOS,NYY,9,CF,1,4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.000
Jarren Duran,2022-07-08,BOS,NYY,8,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2022-07-07,BOS,NYY,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Jarren Duran,2022-07-06,BOS,TBR,1,CF,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jarren Duran,2022-07-05,BOS,TBR,1,CF,1,4,5,2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,.500
Jarren Duran,2022-07-04,BOS,TBR,1,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2022-07-03,BOS,@CHC,1,CF,1,5,6,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.200
Jarren Duran,2022-07-02,BOS,@CHC,1,CF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Jarren Duran,2022-07-01,BOS,@CHC,1,CF,1,5,5,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.400
Jarren Duran,2022-06-26,BOS,@CLE,1,CF,1,5,6,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,.400
Jarren Duran,2022-06-25,BOS,@CLE,1,CF,1,5,5,4,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,.800
Jarren Duran,2022-06-24,BOS,@CLE,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2022-06-22,BOS,DET,1,CF,1,4,4,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.250
Jarren Duran,2022-06-21,BOS,DET,1,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Jarren Duran,2022-06-20,BOS,DET,1,CF,1,3,4,2,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0,.667
Jarren Duran,2022-06-18,BOS,STL,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2022-06-17,BOS,STL,1,CF,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,.500
Jarren Duran,2022-06-16,BOS,OAK,1,CF,1,3,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.667
Jarren Duran,2022-06-15,BOS,OAK,1,CF,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Jarren Duran,2022-06-05,BOS,@OAK,1,DH,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,.250
Jarren Duran,2022-06-04,BOS,@OAK,1,RF,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.400
Jarren Duran,2022-05-06,BOS,CHW,1,CF,1,4,5,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,.250
Jarren Duran,2021-09-01,BOS,@TBR,7,CF,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Jarren Duran,2021-08-30,BOS,@TBR,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jarren Duran,2021-08-29,BOS,@CLE,8,CF,1,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,.333
Jarren Duran,2021-08-28,BOS,@CLE,1,CF,1,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2021-08-27,BOS,@CLE,8,CF,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Jarren Duran,2021-08-26,BOS,MIN,8,CF,1,3,4,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,.333
Jarren Duran,2021-08-23,BOS,TEX,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2021-08-21,BOS,TEX,7,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jarren Duran,2021-08-20,BOS,TEX,8,CF,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Jarren Duran,2021-08-17,BOS,@NYY,8,CF,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Jarren Duran,2021-08-14,BOS,BAL,7,CF,1,5,5,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,.200
Jarren Duran,2021-08-13,BOS,BAL,8,CF,1,4,4,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.500
Jarren Duran,2021-08-12,BOS,TBR,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jarren Duran,2021-08-11,BOS,TBR,9,CF,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Jarren Duran,2021-08-10,BOS,TBR,2,CF,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.400
Jarren Duran,2021-08-08,BOS,@TOR,9,LF,1,5,5,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.400
Jarren Duran,2021-08-05,BOS,@DET,1,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jarren Duran,2021-08-04,BOS,@DET,2,CF,1,5,5,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.200
Jarren Duran,2021-08-03,BOS,@DET,1,CF,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.400
Jarren Duran,2021-08-01,BOS,@TBR,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
