Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Javier Báez,2022-07-11,DET,@KCR,2,SS,1,5,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.200
Javier Báez,2022-07-11,DET,@KCR,2,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Javier Báez,2022-07-10,DET,@CHW,2,SS,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Javier Báez,2022-07-09,DET,@CHW,3,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Javier Báez,2022-07-08,DET,@CHW,2,SS,1,5,5,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.400
Javier Báez,2022-07-07,DET,@CHW,4,SS,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Javier Báez,2022-07-06,DET,CLE,2,SS,1,3,4,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,.333
Javier Báez,2022-07-04,DET,CLE,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Javier Báez,2022-07-04,DET,CLE,3,SS,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Javier Báez,2022-07-03,DET,KCR,4,SS,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Javier Báez,2022-07-02,DET,KCR,2,SS,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Javier Báez,2022-07-01,DET,KCR,3,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Javier Báez,2022-06-29,DET,@SFG,2,SS,1,4,4,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,.500
Javier Báez,2022-06-28,DET,@SFG,2,SS,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.200
Javier Báez,2022-06-26,DET,@ARI,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Javier Báez,2022-06-25,DET,@ARI,3,SS,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.250
Javier Báez,2022-06-24,DET,@ARI,3,SS,1,4,4,1,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,.250
Javier Báez,2022-06-22,DET,@BOS,3,SS,1,3,4,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.667
Javier Báez,2022-06-21,DET,@BOS,2,SS,1,5,5,3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,.600
Javier Báez,2022-06-20,DET,@BOS,4,SS,1,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Javier Báez,2022-06-19,DET,TEX,4,SS,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,0,.333
Javier Báez,2022-06-18,DET,TEX,5,SS,1,5,5,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.200
Javier Báez,2022-06-17,DET,TEX,5,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Javier Báez,2022-06-16,DET,TEX,4,SS,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Javier Báez,2022-06-14,DET,CHW,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Javier Báez,2022-06-13,DET,CHW,5,SS,1,4,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Javier Báez,2022-06-12,DET,TOR,6,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Javier Báez,2022-06-11,DET,TOR,6,SS,1,1,4,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1.000
Javier Báez,2022-06-10,DET,TOR,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
