Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jesús Sánchez,2022-07-11,MIA,PIT,5,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-10,MIA,@NYM,5,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-07-09,MIA,@NYM,4,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-08,MIA,@NYM,5,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-07,MIA,@NYM,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-06,MIA,LAA,6,CF,1,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-05,MIA,LAA,5,CF,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Jesús Sánchez,2022-07-04,MIA,@WSN,7,CF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-07-03,MIA,@WSN,6,CF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-07-02,MIA,@WSN,4,CF,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-07-01,MIA,@WSN,6,CF,1,4,5,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.250
Jesús Sánchez,2022-06-29,MIA,@STL,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-28,MIA,@STL,7,CF,1,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Jesús Sánchez,2022-06-27,MIA,@STL,5,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-26,MIA,NYM,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-25,MIA,NYM,5,CF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-06-24,MIA,NYM,7,CF,1,2,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.500
Jesús Sánchez,2022-06-22,MIA,COL,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-21,MIA,COL,6,CF,1,4,4,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,.500
Jesús Sánchez,2022-06-15,MIA,@PHI,5,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Jesús Sánchez,2022-06-14,MIA,@PHI,5,CF,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.333
Jesús Sánchez,2022-06-13,MIA,@PHI,5,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-12,MIA,@HOU,5,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-10,MIA,@HOU,5,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-09,MIA,WSN,5,CF,1,4,4,2,0,1,0,1,2,3,0,0,1,0,0,0,0,0,0,.500
Jesús Sánchez,2022-06-07,MIA,WSN,6,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-05,MIA,SFG,6,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-06-04,MIA,SFG,6,CF,1,3,4,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,.333
Jesús Sánchez,2022-06-03,MIA,SFG,6,CF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Jesús Sánchez,2022-06-01,MIA,@COL,5,CF,1,3,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.333
Jesús Sánchez,2022-06-01,MIA,@COL,5,CF,1,5,5,3,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.600
Jesús Sánchez,2022-05-30,MIA,@COL,7,CF,1,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.333
Jesús Sánchez,2022-05-29,MIA,@ATL,7,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-05-28,MIA,@ATL,9,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-27,MIA,@ATL,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-25,MIA,@TBR,7,CF,1,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Jesús Sánchez,2022-05-24,MIA,@TBR,7,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-22,MIA,ATL,6,CF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-21,MIA,ATL,6,CF,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jesús Sánchez,2022-05-20,MIA,ATL,6,CF,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jesús Sánchez,2022-05-18,MIA,WSN,6,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Jesús Sánchez,2022-05-17,MIA,WSN,6,CF,1,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Jesús Sánchez,2022-05-15,MIA,MIL,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-14,MIA,MIL,6,CF,1,3,4,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,.333
Jesús Sánchez,2022-05-13,MIA,MIL,6,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-11,MIA,@ARI,7,CF,1,4,5,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,.000
Jesús Sánchez,2022-05-10,MIA,@ARI,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jesús Sánchez,2022-05-09,MIA,@ARI,7,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jesús Sánchez,2022-05-08,MIA,@SDP,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
