Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Joc Pederson,2022-07-11,SFG,ARI,2,LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Joc Pederson,2022-07-09,SFG,@SDP,2,LF,1,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Joc Pederson,2022-07-08,SFG,@SDP,1,PH-RF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Joc Pederson,2022-07-07,SFG,@SDP,2,LF,1,4,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,.000
Joc Pederson,2022-07-06,SFG,@ARI,2,LF,1,4,5,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,.000
Joc Pederson,2022-07-05,SFG,@ARI,5,RF-LF,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Joc Pederson,2022-07-04,SFG,@ARI,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Joc Pederson,2022-07-03,SFG,CHW,2,LF,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Joc Pederson,2022-07-02,SFG,CHW,2,LF,1,5,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.400
Joc Pederson,2022-07-01,SFG,CHW,2,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Joc Pederson,2022-06-29,SFG,DET,4,LF,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Joc Pederson,2022-06-28,SFG,DET,3,LF,1,3,4,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Joc Pederson,2022-06-26,SFG,CIN,4,LF,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Joc Pederson,2022-06-25,SFG,CIN,3,LF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Joc Pederson,2022-06-24,SFG,CIN,4,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Joc Pederson,2022-06-23,SFG,@ATL,4,LF,1,4,5,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,.500
Joc Pederson,2022-06-22,SFG,@ATL,1,LF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
