Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Joey Votto,2022-07-04,CIN,NYM,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Joey Votto,2022-07-03,CIN,ATL,4,1B,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Joey Votto,2022-07-02,CIN,ATL,4,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Joey Votto,2022-07-01,CIN,ATL,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Joey Votto,2022-06-30,CIN,@CHC,4,1B,1,5,5,3,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.600
Joey Votto,2022-06-29,CIN,@CHC,4,1B,1,4,5,2,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,.500
Joey Votto,2022-06-28,CIN,@CHC,4,1B,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Joey Votto,2022-06-26,CIN,@SFG,4,1B,1,5,5,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,.400
Joey Votto,2022-06-25,CIN,@SFG,4,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Joey Votto,2022-06-24,CIN,@SFG,4,1B,1,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
Joey Votto,2022-06-22,CIN,LAD,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Joey Votto,2022-06-21,CIN,LAD,4,1B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Joey Votto,2022-06-19,CIN,MIL,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Joey Votto,2022-06-18,CIN,MIL,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Joey Votto,2022-06-17,CIN,MIL,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Joey Votto,2022-06-15,CIN,@ARI,4,DH,1,3,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.333
Joey Votto,2022-06-14,CIN,@ARI,4,1B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Joey Votto,2022-06-13,CIN,@ARI,4,1B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Joey Votto,2022-06-12,CIN,@STL,4,1B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Joey Votto,2022-06-11,CIN,@STL,4,DH,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Joey Votto,2022-06-10,CIN,@STL,4,1B,1,2,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.500
Joey Votto,2022-06-09,CIN,ARI,4,DH,1,4,4,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Joey Votto,2022-06-08,CIN,ARI,4,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Joey Votto,2022-06-07,CIN,ARI,4,1B,1,4,5,2,1,0,0,1,2,3,1,0,1,0,0,0,0,0,0,.500
Joey Votto,2022-06-06,CIN,ARI,4,1B,1,2,4,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,.500
Joey Votto,2022-06-05,CIN,WSN,4,1B,1,4,4,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,.250
Joey Votto,2022-06-04,CIN,WSN,4,1B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200
Joey Votto,2022-06-03,CIN,WSN,4,1B,1,4,4,1,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,.250
Joey Votto,2022-06-02,CIN,WSN,4,DH,1,2,4,1,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,.500
Joey Votto,2022-06-01,CIN,@BOS,4,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Joey Votto,2022-05-31,CIN,@BOS,4,1B,1,3,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Joey Votto,2022-05-29,CIN,SFG,4,1B,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Joey Votto,2022-05-28,CIN,SFG,4,1B,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
