Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jon Berti,2022-07-11,MIA,PIT,9,PH-2B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jon Berti,2022-07-10,MIA,@NYM,2,LF-2B,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.750
Jon Berti,2022-07-09,MIA,@NYM,1,2B,1,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,.600
Jon Berti,2022-07-08,MIA,@NYM,2,2B,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Jon Berti,2022-07-07,MIA,@NYM,1,LF-SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jon Berti,2022-07-06,MIA,LAA,1,LF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Jon Berti,2022-07-03,MIA,@WSN,1,2B,1,5,5,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,.200
Jon Berti,2022-07-02,MIA,@WSN,1,2B,1,3,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,.000
Jon Berti,2022-07-01,MIA,@WSN,1,LF-2B,1,3,5,0,0,0,0,0,1,2,1,0,0,0,1,0,0,2,0,.000
Jon Berti,2022-06-29,MIA,@STL,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jon Berti,2022-06-28,MIA,@STL,1,3B-2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jon Berti,2022-06-27,MIA,@STL,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,.250
Jon Berti,2022-06-26,MIA,NYM,1,LF,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Jon Berti,2022-06-24,MIA,NYM,1,SS,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.500
Jon Berti,2022-06-23,MIA,COL,1,3B,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,.500
Jon Berti,2022-06-22,MIA,COL,1,3B,1,3,4,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,.333
Jon Berti,2022-06-21,MIA,COL,1,2B,1,4,5,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,.250
Jon Berti,2022-06-20,MIA,@NYM,1,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Jon Berti,2022-06-19,MIA,@NYM,2,3B,1,4,5,1,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,.250
Jon Berti,2022-06-18,MIA,@NYM,1,3B,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,.500
Jon Berti,2022-06-17,MIA,@NYM,5,3B-SS,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.200
Jon Berti,2022-06-15,MIA,@PHI,2,3B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.500
Jon Berti,2022-06-14,MIA,@PHI,7,3B-SS,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Jon Berti,2022-06-13,MIA,@PHI,6,3B,1,4,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.500
Jon Berti,2022-06-11,MIA,@HOU,1,3B,1,5,5,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,.200
Jon Berti,2022-06-10,MIA,@HOU,6,3B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,.000
Jon Berti,2022-06-09,MIA,WSN,6,3B,1,4,4,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Jon Berti,2022-06-08,MIA,WSN,6,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
Jon Berti,2022-06-07,MIA,WSN,7,3B-CF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,.000
Jon Berti,2022-06-05,MIA,SFG,1,2B-3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jon Berti,2022-06-04,MIA,SFG,7,3B,1,3,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.333
Jon Berti,2022-06-03,MIA,SFG,7,3B,1,2,3,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,.500
Jon Berti,2022-06-02,MIA,SFG,1,3B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Jon Berti,2022-06-01,MIA,@COL,1,3B,1,5,6,2,2,0,0,0,2,0,1,0,1,0,0,0,0,2,0,.400
Jon Berti,2022-06-01,MIA,@COL,6,SS,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.250
Jon Berti,2022-05-29,MIA,@ATL,1,LF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jon Berti,2022-05-28,MIA,@ATL,1,CF-2B,1,3,5,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,.000
Jon Berti,2022-05-27,MIA,@ATL,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250
Jon Berti,2022-05-06,MIA,@SDP,6,LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jon Berti,2022-05-05,MIA,@SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jon Berti,2022-05-04,MIA,ARI,1,3B,1,5,5,2,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,.400
