Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jonathan Davis,2022-07-10,MIL,PIT,9,CF,1,3,3,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,.667
Jonathan Davis,2022-07-09,MIL,PIT,9,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2022-07-08,MIL,PIT,9,PH-CF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2022-07-06,MIL,CHC,9,CF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jonathan Davis,2022-07-05,MIL,CHC,9,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2022-07-04,MIL,CHC,9,CF,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jonathan Davis,2022-07-03,MIL,@PIT,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2022-07-02,MIL,@PIT,9,CF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
Jonathan Davis,2022-07-01,MIL,@PIT,9,CF,1,3,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,.000
Jonathan Davis,2022-06-29,MIL,@TBR,9,CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jonathan Davis,2022-06-28,MIL,@TBR,9,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2022-06-26,MIL,TOR,9,CF,1,3,4,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,.333
Jonathan Davis,2022-06-25,MIL,TOR,9,CF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jonathan Davis,2022-06-24,MIL,TOR,9,CF,1,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
Jonathan Davis,2022-06-23,MIL,STL,9,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jonathan Davis,2022-06-18,MIL,@CIN,9,CF,1,4,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Jonathan Davis,2021-08-24,NYY,@ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-17,NYY,BOS,7,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-17,NYY,BOS,6,PR-CF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-16,NYY,LAA,8,CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-15,NYY,@CHW,5,PR-LF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-14,NYY,@CHW,5,PR-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-11,NYY,@KCR,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-10,NYY,@KCR,8,CF,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-08,NYY,SEA,9,CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-06,NYY,SEA,9,CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-05,NYY,SEA,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jonathan Davis,2021-08-04,NYY,BAL,8,PR-CF,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000
Jonathan Davis,2021-07-24,TOR,@NYM,6,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
