Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jorge Mateo,2022-07-10,BAL,LAA,9,SS,1,4,4,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,.500
Jorge Mateo,2022-07-09,BAL,LAA,9,PR-SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jorge Mateo,2022-07-08,BAL,LAA,9,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jorge Mateo,2022-07-07,BAL,LAA,9,SS,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.250
Jorge Mateo,2022-07-06,BAL,TEX,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jorge Mateo,2022-07-05,BAL,TEX,9,SS,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,.250
Jorge Mateo,2022-07-04,BAL,TEX,9,SS,1,2,5,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,.000
Jorge Mateo,2022-07-03,BAL,@MIN,7,PR-SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jorge Mateo,2022-07-02,BAL,@MIN,9,SS,1,2,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,.000
Jorge Mateo,2022-07-01,BAL,@MIN,9,SS,1,2,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-29,BAL,@SEA,9,SS,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jorge Mateo,2022-06-28,BAL,@SEA,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-27,BAL,@SEA,9,SS,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Jorge Mateo,2022-06-26,BAL,@CHW,7,SS,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-25,BAL,@CHW,9,SS,1,3,4,2,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,.667
Jorge Mateo,2022-06-24,BAL,@CHW,8,SS,1,2,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,.000
Jorge Mateo,2022-06-23,BAL,@CHW,8,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jorge Mateo,2022-06-22,BAL,WSN,8,SS,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-21,BAL,WSN,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-19,BAL,TBR,9,SS,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,.000
Jorge Mateo,2022-06-18,BAL,TBR,8,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-17,BAL,TBR,9,SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Mateo,2022-06-16,BAL,@TOR,9,SS,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Jorge Mateo,2022-06-15,BAL,@TOR,8,SS,1,3,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000
Jorge Mateo,2022-06-14,BAL,@TOR,7,SS,1,3,4,1,1,0,0,0,1,0,1,0,2,0,0,0,0,2,1,.333
