Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jorge Soler,2022-06-28,MIA,@STL,3,LF,1,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.333
Jorge Soler,2022-06-27,MIA,@STL,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Jorge Soler,2022-06-25,MIA,NYM,3,LF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Jorge Soler,2022-06-24,MIA,NYM,3,LF,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Jorge Soler,2022-06-23,MIA,COL,3,LF,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Jorge Soler,2022-06-22,MIA,COL,3,LF,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
Jorge Soler,2022-06-21,MIA,COL,3,LF,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-06-20,MIA,@NYM,3,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Jorge Soler,2022-06-18,MIA,@NYM,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-06-17,MIA,@NYM,3,LF,1,3,5,2,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,.667
Jorge Soler,2022-06-15,MIA,@PHI,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jorge Soler,2022-06-14,MIA,@PHI,3,LF,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Jorge Soler,2022-06-13,MIA,@PHI,3,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-06-12,MIA,@HOU,3,DH,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Jorge Soler,2022-06-11,MIA,@HOU,3,DH,1,3,4,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,.000
Jorge Soler,2022-06-10,MIA,@HOU,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jorge Soler,2022-06-08,MIA,WSN,3,LF,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Jorge Soler,2022-06-07,MIA,WSN,3,LF,1,4,4,2,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,.500
Jorge Soler,2022-06-05,MIA,SFG,3,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-06-04,MIA,SFG,3,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-06-03,MIA,SFG,3,LF,1,3,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.333
Jorge Soler,2022-06-02,MIA,SFG,3,DH,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-06-01,MIA,@COL,3,LF,1,4,6,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-06-01,MIA,@COL,3,DH,1,6,6,3,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,.500
Jorge Soler,2022-05-30,MIA,@COL,3,LF,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jorge Soler,2022-05-29,MIA,@ATL,3,DH,1,3,4,2,0,0,0,2,2,3,1,0,1,0,0,0,0,0,0,.667
Jorge Soler,2022-05-28,MIA,@ATL,3,LF,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-05-27,MIA,@ATL,3,LF,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,.000
Jorge Soler,2022-05-25,MIA,@TBR,3,LF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,.250
Jorge Soler,2022-05-24,MIA,@TBR,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,.000
Jorge Soler,2022-05-21,MIA,ATL,3,DH,1,5,5,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.400
Jorge Soler,2022-05-20,MIA,ATL,3,DH,1,4,5,2,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,.500
Jorge Soler,2022-05-16,MIA,WSN,3,LF,1,5,5,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.400
Jorge Soler,2022-05-15,MIA,MIL,3,LF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Jorge Soler,2022-05-14,MIA,MIL,3,LF,1,2,5,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,.500
Jorge Soler,2022-05-13,MIA,MIL,3,LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jorge Soler,2022-05-11,MIA,@ARI,3,DH,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Jorge Soler,2022-05-10,MIA,@ARI,3,LF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-05-09,MIA,@ARI,3,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Jorge Soler,2022-05-08,MIA,@SDP,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jorge Soler,2022-05-07,MIA,@SDP,4,LF,1,5,5,2,0,1,0,1,1,4,0,0,1,0,0,0,0,0,0,.400
Jorge Soler,2022-05-06,MIA,@SDP,4,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jorge Soler,2022-05-05,MIA,@SDP,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Jorge Soler,2022-05-04,MIA,ARI,3,LF,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-05-03,MIA,ARI,3,LF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Jorge Soler,2022-05-02,MIA,ARI,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-05-01,MIA,SEA,3,LF,1,5,5,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.400
Jorge Soler,2022-04-30,MIA,SEA,3,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-04-29,MIA,SEA,3,DH,1,3,4,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,1,.333
Jorge Soler,2022-04-28,MIA,@WSN,3,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jorge Soler,2022-04-27,MIA,@WSN,3,LF,1,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000
Jorge Soler,2022-04-26,MIA,@WSN,3,LF,1,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Jorge Soler,2022-04-24,MIA,@ATL,3,LF,1,4,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Jorge Soler,2022-04-23,MIA,@ATL,3,LF,1,5,6,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,.200
Jorge Soler,2022-04-22,MIA,@ATL,3,LF,1,3,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.667
Jorge Soler,2022-04-21,MIA,STL,3,LF,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Jorge Soler,2022-04-20,MIA,STL,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-04-19,MIA,STL,7,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jorge Soler,2022-04-17,MIA,PHI,1,DH,1,5,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.200
Jorge Soler,2022-04-16,MIA,PHI,1,LF,1,5,5,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.200
Jorge Soler,2022-04-15,MIA,PHI,1,LF,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Jorge Soler,2022-04-14,MIA,PHI,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-04-12,MIA,@LAA,1,DH,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,.000
Jorge Soler,2022-04-11,MIA,@LAA,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Jorge Soler,2022-04-10,MIA,@SFG,1,LF,1,4,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.750
Jorge Soler,2022-04-09,MIA,@SFG,1,LF,1,2,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,.000
Jorge Soler,2022-04-08,MIA,@SFG,1,LF,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jorge Soler,2021-10-03,ATL,NYM,1,RF,1,3,4,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.333
Jorge Soler,2021-09-30,ATL,PHI,1,RF,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Jorge Soler,2021-09-29,ATL,PHI,1,RF,1,3,5,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.667
Jorge Soler,2021-09-28,ATL,PHI,1,RF,1,3,4,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,.333
Jorge Soler,2021-09-26,ATL,@SDP,1,RF,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
