Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jose Trevino,2022-07-10,NYY,@BOS,8,C,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Jose Trevino,2022-07-09,NYY,@BOS,9,C,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-07-08,NYY,@BOS,7,C,1,5,5,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,.400
Jose Trevino,2022-07-07,NYY,@BOS,7,C,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.333
Jose Trevino,2022-07-05,NYY,@PIT,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jose Trevino,2022-07-03,NYY,@CLE,5,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-07-02,NYY,@CLE,8,C,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.200
Jose Trevino,2022-06-30,NYY,@HOU,7,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jose Trevino,2022-06-28,NYY,OAK,5,C,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333
Jose Trevino,2022-06-27,NYY,OAK,7,C,1,4,4,1,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,.250
Jose Trevino,2022-06-26,NYY,HOU,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2022-06-25,NYY,HOU,7,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2022-06-23,NYY,HOU,8,C,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Jose Trevino,2022-06-22,NYY,@TBR,8,C,1,5,5,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.400
Jose Trevino,2022-06-20,NYY,@TBR,8,C,1,2,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,.000
Jose Trevino,2022-06-19,NYY,@TOR,9,PH-C,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-06-18,NYY,@TOR,8,C,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Jose Trevino,2022-06-16,NYY,TBR,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-06-14,NYY,TBR,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-06-11,NYY,CHC,8,C,1,4,4,3,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.750
Jose Trevino,2022-06-10,NYY,CHC,8,PH,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Jose Trevino,2022-06-09,NYY,@MIN,8,C,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Jose Trevino,2022-06-07,NYY,@MIN,8,C,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.250
Jose Trevino,2022-06-05,NYY,DET,8,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2022-06-03,NYY,DET,8,C,1,3,4,2,0,0,1,1,3,3,1,0,1,0,0,0,0,0,0,.667
Jose Trevino,2022-06-02,NYY,LAA,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-06-02,NYY,LAA,8,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Jose Trevino,2022-05-31,NYY,LAA,8,C,1,4,4,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.750
Jose Trevino,2022-05-29,NYY,@TBR,8,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-28,NYY,@TBR,8,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2022-05-26,NYY,@TBR,7,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jose Trevino,2022-05-24,NYY,BAL,9,C,1,4,5,3,2,0,0,1,1,3,1,0,1,0,0,0,0,0,0,.750
Jose Trevino,2022-05-23,NYY,BAL,8,C,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Jose Trevino,2022-05-22,NYY,CHW,9,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Jose Trevino,2022-05-19,NYY,@BAL,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-18,NYY,@BAL,9,C,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Jose Trevino,2022-05-16,NYY,@BAL,8,C,1,4,4,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.500
Jose Trevino,2022-05-15,NYY,@CHW,8,C,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-13,NYY,@CHW,8,C,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Jose Trevino,2022-05-12,NYY,@CHW,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-11,NYY,TOR,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-10,NYY,TOR,9,C,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-09,NYY,TEX,9,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jose Trevino,2022-05-08,NYY,TEX,9,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Jose Trevino,2022-05-04,NYY,@TOR,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-03,NYY,@TOR,9,C,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-02,NYY,@TOR,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-05-01,NYY,@KCR,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-30,NYY,@KCR,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Jose Trevino,2022-04-27,NYY,BAL,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-24,NYY,CLE,9,C,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-22,NYY,CLE,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-21,NYY,@DET,9,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-16,NYY,@BAL,9,C,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Jose Trevino,2022-04-15,NYY,@BAL,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2022-04-14,NYY,TOR,9,C,1,3,3,2,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,.667
Jose Trevino,2022-04-10,NYY,BOS,9,C,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Jose Trevino,2022-04-08,NYY,BOS,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2021-10-03,TEX,CLE,8,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Jose Trevino,2021-10-01,TEX,CLE,8,C,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Jose Trevino,2021-09-29,TEX,LAA,6,C,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.500
Jose Trevino,2021-09-26,TEX,@BAL,6,C,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Jose Trevino,2021-09-25,TEX,@BAL,9,C,1,3,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.000
Jose Trevino,2021-09-24,TEX,@BAL,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Jose Trevino,2021-09-22,TEX,@NYY,9,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jose Trevino,2021-09-21,TEX,@NYY,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2021-09-19,TEX,CHW,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Jose Trevino,2021-09-17,TEX,CHW,8,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Jose Trevino,2021-09-14,TEX,HOU,7,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jose Trevino,2021-09-13,TEX,HOU,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Jose Trevino,2021-09-10,TEX,@OAK,7,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2021-09-08,TEX,@ARI,8,C,1,3,4,1,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,.333
Jose Trevino,2021-09-06,TEX,@LAA,9,C,1,4,4,2,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,.500
Jose Trevino,2021-09-04,TEX,@LAA,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Jose Trevino,2021-09-01,TEX,COL,9,C,1,3,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Jose Trevino,2021-08-29,TEX,HOU,8,C,1,5,5,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.400
Jose Trevino,2021-08-28,TEX,HOU,7,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2021-08-27,TEX,HOU,9,C,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Jose Trevino,2021-08-26,TEX,@CLE,6,C,1,3,4,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,.667
Jose Trevino,2021-08-25,TEX,@CLE,9,C,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Jose Trevino,2021-08-24,TEX,@CLE,9,C,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Jose Trevino,2021-08-23,TEX,@BOS,9,C,1,4,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000
Jose Trevino,2021-08-21,TEX,@BOS,9,C,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
Jose Trevino,2021-08-18,TEX,SEA,9,C,1,3,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.667
Jose Trevino,2021-08-15,TEX,OAK,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Jose Trevino,2021-08-13,TEX,OAK,9,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Jose Trevino,2021-08-12,TEX,@SEA,9,C,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2021-08-07,TEX,@OAK,7,C,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Jose Trevino,2021-08-05,TEX,LAA,8,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
