Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Josh Lowe,2022-07-11,TBR,BOS,5,RF,1,5,5,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,.200
Josh Lowe,2022-07-10,TBR,@CIN,6,RF,1,4,4,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.500
Josh Lowe,2022-07-09,TBR,@CIN,1,RF,1,4,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-07-08,TBR,@CIN,9,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Josh Lowe,2022-07-06,TBR,@BOS,1,RF,1,5,5,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,.400
Josh Lowe,2022-07-05,TBR,@BOS,9,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-07-04,TBR,@BOS,6,RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Josh Lowe,2022-07-02,TBR,@TOR,9,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Josh Lowe,2022-07-01,TBR,@TOR,7,LF,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Josh Lowe,2022-06-30,TBR,@TOR,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Josh Lowe,2022-06-29,TBR,MIL,3,PH-CF,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Josh Lowe,2022-06-28,TBR,MIL,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Josh Lowe,2022-06-26,TBR,PIT,6,CF-RF,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
Josh Lowe,2022-06-25,TBR,PIT,2,RF-CF,1,5,5,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.200
Josh Lowe,2022-06-24,TBR,PIT,4,RF,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,.250
Josh Lowe,2022-06-22,TBR,NYY,7,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Josh Lowe,2022-06-21,TBR,NYY,6,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-06-20,TBR,NYY,8,LF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Josh Lowe,2022-05-01,TBR,MIN,4,RF,1,4,4,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,.250
Josh Lowe,2022-04-30,TBR,MIN,4,RF,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Josh Lowe,2022-04-29,TBR,MIN,4,DH,1,4,4,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.250
Josh Lowe,2022-04-28,TBR,SEA,6,LF,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.500
Josh Lowe,2022-04-26,TBR,SEA,8,DH,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-04-23,TBR,BOS,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Josh Lowe,2022-04-22,TBR,BOS,6,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Josh Lowe,2022-04-20,TBR,@CHC,5,LF,1,3,3,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,.667
Josh Lowe,2022-04-19,TBR,@CHC,8,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-04-18,TBR,@CHC,2,DH,1,4,4,2,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,.500
Josh Lowe,2022-04-17,TBR,@CHW,6,LF,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.200
Josh Lowe,2022-04-16,TBR,@CHW,3,LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-04-15,TBR,@CHW,6,RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Josh Lowe,2022-04-13,TBR,OAK,6,LF-RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
