Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
José Azocar,2022-07-11,SDP,@COL,9,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
José Azocar,2022-07-10,SDP,SFG,6,RF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
José Azocar,2022-07-09,SDP,SFG,9,RF,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-07-08,SDP,SFG,7,RF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
José Azocar,2022-07-07,SDP,SFG,1,RF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-07-04,SDP,SEA,1,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-07-03,SDP,@LAD,9,RF,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
José Azocar,2022-07-02,SDP,@LAD,9,RF,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
José Azocar,2022-06-30,SDP,@LAD,4,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-29,SDP,@ARI,8,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-28,SDP,@ARI,7,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-26,SDP,PHI,9,CF-RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
José Azocar,2022-06-25,SDP,PHI,9,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-24,SDP,PHI,9,CF-RF,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.667
José Azocar,2022-06-23,SDP,PHI,7,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-22,SDP,ARI,8,RF-LF,1,5,5,3,1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,.600
José Azocar,2022-06-21,SDP,ARI,4,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-20,SDP,ARI,6,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-17,SDP,@COL,8,RF,1,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.333
José Azocar,2022-06-16,SDP,@CHC,6,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-06-15,SDP,@CHC,1,LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-06-14,SDP,@CHC,9,LF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.500
José Azocar,2022-06-13,SDP,@CHC,9,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-06-11,SDP,COL,7,RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-06-11,SDP,COL,6,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-06-10,SDP,COL,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-08,SDP,NYM,3,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
José Azocar,2022-06-07,SDP,NYM,6,PH-RF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
José Azocar,2022-06-05,SDP,@MIL,9,RF,1,4,4,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.250
José Azocar,2022-06-04,SDP,@MIL,7,RF,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
José Azocar,2022-06-03,SDP,@MIL,6,PH-RF,1,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.667
José Azocar,2022-06-02,SDP,@MIL,6,PH-RF,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
José Azocar,2022-06-01,SDP,@STL,9,RF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-05-31,SDP,@STL,6,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-05-30,SDP,@STL,9,RF,1,3,4,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.667
José Azocar,2022-05-29,SDP,PIT,9,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
José Azocar,2022-05-28,SDP,PIT,6,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-05-27,SDP,PIT,9,CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-05-25,SDP,MIL,9,CF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-05-23,SDP,MIL,7,PR-DH,1,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
José Azocar,2022-05-22,SDP,@SFG,9,CF,1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.200
José Azocar,2022-05-21,SDP,@SFG,9,LF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.333
José Azocar,2022-05-13,SDP,@ATL,9,CF,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.333
José Azocar,2022-05-10,SDP,CHC,9,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
José Azocar,2022-05-09,SDP,CHC,9,RF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.333
José Azocar,2022-05-08,SDP,MIA,9,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-05-07,SDP,MIA,8,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
José Azocar,2022-05-05,SDP,MIA,9,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-05-04,SDP,@CLE,9,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
José Azocar,2022-05-01,SDP,@PIT,7,RF,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
José Azocar,2022-04-29,SDP,@PIT,7,PR-LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-28,SDP,@CIN,6,PR-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-04-27,SDP,@CIN,6,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-26,SDP,@CIN,6,RF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
José Azocar,2022-04-24,SDP,LAD,5,RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-23,SDP,LAD,9,CF,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.333
José Azocar,2022-04-22,SDP,LAD,4,PR-DH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-19,SDP,CIN,9,CF,1,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.500
José Azocar,2022-04-18,SDP,CIN,9,CF-LF,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,.000
José Azocar,2022-04-17,SDP,ATL,7,RF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000
José Azocar,2022-04-15,SDP,ATL,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-13,SDP,@SFG,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-12,SDP,@SFG,3,LF-RF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-11,SDP,@SFG,8,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-10,SDP,@ARI,3,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
José Azocar,2022-04-09,SDP,@ARI,2,LF,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.000
José Azocar,2022-04-08,SDP,@ARI,6,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
José Azocar,2022-04-07,SDP,@ARI,7,PR-LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
