Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Keibert Ruiz,2022-07-10,WSN,@ATL,5,C,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Keibert Ruiz,2022-07-09,WSN,@ATL,6,C,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Keibert Ruiz,2022-07-08,WSN,@ATL,6,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Keibert Ruiz,2022-07-06,WSN,@PHI,5,C,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Keibert Ruiz,2022-07-05,WSN,@PHI,4,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Keibert Ruiz,2022-07-04,WSN,MIA,8,PH-C,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Keibert Ruiz,2022-07-03,WSN,MIA,6,C,1,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.000
Keibert Ruiz,2022-07-02,WSN,MIA,8,PH-C,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Keibert Ruiz,2022-07-01,WSN,MIA,5,C,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Keibert Ruiz,2022-06-29,WSN,PIT,6,C,1,4,5,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,.500
Keibert Ruiz,2022-06-27,WSN,PIT,6,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-25,WSN,@TEX,6,C,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Keibert Ruiz,2022-06-24,WSN,@TEX,6,C,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Keibert Ruiz,2022-06-21,WSN,@BAL,6,C,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Keibert Ruiz,2022-06-19,WSN,PHI,5,C,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-18,WSN,PHI,6,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Keibert Ruiz,2022-06-17,WSN,PHI,5,C,1,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.400
Keibert Ruiz,2022-06-17,WSN,PHI,8,PH-C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-16,WSN,PHI,2,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-15,WSN,ATL,5,C,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Keibert Ruiz,2022-06-13,WSN,ATL,6,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Keibert Ruiz,2022-06-12,WSN,MIL,7,C,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Keibert Ruiz,2022-06-10,WSN,MIL,6,C,1,5,5,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.600
Keibert Ruiz,2022-06-08,WSN,@MIA,7,C,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Keibert Ruiz,2022-06-07,WSN,@MIA,7,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-05,WSN,@CIN,7,C,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.000
Keibert Ruiz,2022-06-04,WSN,@CIN,7,C,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-02,WSN,@CIN,2,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Keibert Ruiz,2022-06-01,WSN,@NYM,8,PH-C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
