Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Kevin Padlo,2022-06-28,SEA,BAL,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2022-06-26,SEA,@LAA,5,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2022-06-25,SEA,@LAA,5,1B,1,4,4,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,.250
Kevin Padlo,2022-06-24,SEA,@LAA,5,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2022-06-23,SEA,@OAK,6,PH-1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2022-06-22,SEA,@OAK,2,PH-1B,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Kevin Padlo,2022-05-24,SFG,NYM,8,3B,1,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.200
Kevin Padlo,2022-05-23,SFG,NYM,5,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2022-05-04,SFG,@LAD,7,3B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333
Kevin Padlo,2022-05-03,SFG,@LAD,7,3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-09-03,SEA,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2021-05-18,TBR,@BAL,9,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-05-16,TBR,NYM,3,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-05-15,TBR,NYM,3,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-05-14,TBR,NYM,8,3B,1,3,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.333
Kevin Padlo,2021-05-13,TBR,NYY,5,PR-1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-05-11,TBR,NYY,6,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Padlo,2021-04-11,TBR,NYY,9,3B,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Kevin Padlo,2021-04-07,TBR,@BOS,6,3B,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Kevin Padlo,2021-04-06,TBR,@BOS,8,3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
