Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Kevin Plawecki,2022-07-09,BOS,NYY,8,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-07-07,BOS,NYY,9,C,1,2,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.500
Kevin Plawecki,2022-07-02,BOS,@CHC,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-06-29,BOS,@TOR,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-06-25,BOS,@CLE,9,C,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Kevin Plawecki,2022-06-18,BOS,STL,9,C,1,2,4,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2022-06-15,BOS,OAK,8,C,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Kevin Plawecki,2022-06-12,BOS,@SEA,9,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2022-06-08,BOS,@LAA,8,C,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,.333
Kevin Plawecki,2022-06-03,BOS,@OAK,9,C,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.000
Kevin Plawecki,2022-05-31,BOS,CIN,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-29,BOS,BAL,6,C,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-28,BOS,BAL,8,C,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-26,BOS,@CHW,5,C,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1.000
Kevin Plawecki,2022-05-24,BOS,@CHW,4,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-22,BOS,SEA,9,C,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Kevin Plawecki,2022-05-17,BOS,HOU,8,C,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Kevin Plawecki,2022-05-15,BOS,@TEX,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-11,BOS,@ATL,8,C,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Kevin Plawecki,2022-05-08,BOS,CHW,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-06,BOS,CHW,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-05,BOS,LAA,9,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-05-03,BOS,LAA,8,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Kevin Plawecki,2022-05-01,BOS,@BAL,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2022-04-30,BOS,@BAL,9,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Kevin Plawecki,2022-04-27,BOS,@TOR,9,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Kevin Plawecki,2022-04-25,BOS,@TOR,9,C,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000
Kevin Plawecki,2022-04-17,BOS,MIN,9,C,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Kevin Plawecki,2022-04-12,BOS,@DET,8,C,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Kevin Plawecki,2022-04-10,BOS,@NYY,8,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Kevin Plawecki,2022-04-08,BOS,@NYY,3,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-30,BOS,@BAL,8,C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-29,BOS,@BAL,7,C,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.333
Kevin Plawecki,2021-09-28,BOS,@BAL,2,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-25,BOS,NYY,8,C,1,2,4,2,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1.000
Kevin Plawecki,2021-09-19,BOS,BAL,7,C,1,4,4,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
Kevin Plawecki,2021-09-15,BOS,@SEA,8,C,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-14,BOS,@SEA,7,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Kevin Plawecki,2021-09-12,BOS,@CHW,8,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-11,BOS,@CHW,9,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-08,BOS,TBR,6,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-06,BOS,TBR,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-09-05,BOS,CLE,5,C,1,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.400
Kevin Plawecki,2021-09-03,BOS,CLE,6,C,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Kevin Plawecki,2021-08-29,BOS,@CLE,6,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Kevin Plawecki,2021-08-28,BOS,@CLE,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-08-25,BOS,MIN,8,PH,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Kevin Plawecki,2021-08-23,BOS,TEX,7,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-08-20,BOS,TEX,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-08-18,BOS,@NYY,6,DH,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Kevin Plawecki,2021-08-17,BOS,@NYY,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2021-08-14,BOS,BAL,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-08-13,BOS,BAL,7,C,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.667
Kevin Plawecki,2021-08-12,BOS,TBR,7,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Kevin Plawecki,2021-08-11,BOS,TBR,6,C,1,4,5,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,.000
Kevin Plawecki,2021-08-10,BOS,TBR,6,DH,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Kevin Plawecki,2021-08-08,BOS,@TOR,6,C,1,4,5,3,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,.750
Kevin Plawecki,2021-08-07,BOS,@TOR,6,C,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Kevin Plawecki,2021-08-05,BOS,@DET,6,C,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Kevin Plawecki,2021-08-01,BOS,@TBR,8,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-07-29,BOS,TOR,5,1B-P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-07-28,BOS,TOR,7,C,1,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Kevin Plawecki,2021-07-28,BOS,TOR,7,DH,1,2,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Kevin Plawecki,2021-07-25,BOS,NYY,2,PH,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-07-24,BOS,NYY,7,C,1,4,4,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.500
Kevin Plawecki,2021-07-22,BOS,NYY,9,PH-1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-07-19,BOS,@TOR,9,C,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.500
Kevin Plawecki,2021-07-18,BOS,@NYY,8,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-07-10,BOS,PHI,8,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-06-20,BOS,@KCR,9,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-06-16,BOS,@ATL,7,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-06-15,BOS,@ATL,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-06-13,BOS,TOR,8,C,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Kevin Plawecki,2021-06-08,BOS,HOU,7,C,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Kevin Plawecki,2021-06-07,BOS,MIA,7,C,1,3,4,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.333
Kevin Plawecki,2021-06-03,BOS,@HOU,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-31,BOS,@HOU,5,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-29,BOS,MIA,8,C,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Kevin Plawecki,2021-05-23,BOS,@PHI,2,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-22,BOS,@PHI,8,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Kevin Plawecki,2021-05-16,BOS,LAA,8,C,1,3,3,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.667
Kevin Plawecki,2021-05-15,BOS,LAA,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-09,BOS,@BAL,9,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-08,BOS,@BAL,4,PH-C,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Kevin Plawecki,2021-05-06,BOS,DET,8,C,1,3,5,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,.667
Kevin Plawecki,2021-05-05,BOS,DET,7,C,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Kevin Plawecki,2021-05-02,BOS,@TEX,9,C,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Kevin Plawecki,2021-04-24,BOS,SEA,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
