Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Kurt Suzuki,2022-07-09,LAA,@BAL,8,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kurt Suzuki,2022-07-07,LAA,@BAL,9,C,1,2,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Kurt Suzuki,2022-07-02,LAA,@HOU,7,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kurt Suzuki,2022-06-28,LAA,CHW,7,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Kurt Suzuki,2022-06-27,LAA,CHW,7,C,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Kurt Suzuki,2022-06-25,LAA,SEA,7,C,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Kurt Suzuki,2022-06-20,LAA,KCR,7,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Kurt Suzuki,2022-06-18,LAA,@SEA,7,C,1,4,4,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
Kurt Suzuki,2022-06-15,LAA,@LAD,7,C,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Kurt Suzuki,2022-06-12,LAA,NYM,7,C,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Kurt Suzuki,2022-06-08,LAA,BOS,8,C,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000
Kurt Suzuki,2022-06-07,LAA,BOS,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kurt Suzuki,2022-06-05,LAA,@PHI,7,C,1,2,4,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1.000
Kurt Suzuki,2022-06-02,LAA,@NYY,7,C,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333
Kurt Suzuki,2022-05-28,LAA,TOR,6,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Kurt Suzuki,2022-05-25,LAA,TEX,7,C,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Kurt Suzuki,2022-05-22,LAA,OAK,7,C,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
