Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Kyle Schwarber,2022-07-11,PHI,@STL,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Kyle Schwarber,2022-07-10,PHI,@STL,1,LF,1,5,5,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.400
Kyle Schwarber,2022-07-09,PHI,@STL,1,LF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Kyle Schwarber,2022-07-08,PHI,@STL,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Kyle Schwarber,2022-07-07,PHI,WSN,1,LF,1,3,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,.000
Kyle Schwarber,2022-07-06,PHI,WSN,1,LF,1,4,4,3,1,0,0,2,2,2,0,0,1,0,0,0,0,0,1,.750
Kyle Schwarber,2022-07-05,PHI,WSN,1,LF,1,3,4,2,0,0,0,2,3,2,1,1,1,0,0,0,0,0,0,.667
Kyle Schwarber,2022-07-03,PHI,STL,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Kyle Schwarber,2022-07-02,PHI,STL,1,DH,1,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Kyle Schwarber,2022-07-01,PHI,STL,1,LF,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Kyle Schwarber,2022-06-30,PHI,ATL,1,LF,1,4,4,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.250
Kyle Schwarber,2022-06-29,PHI,ATL,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Kyle Schwarber,2022-06-28,PHI,ATL,1,LF,1,3,5,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,.333
