Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Lane Thomas,2022-07-10,WSN,@ATL,6,PH-LF,1,3,3,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,.333
Lane Thomas,2022-07-09,WSN,@ATL,8,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Lane Thomas,2022-07-08,WSN,@ATL,9,CF,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.333
Lane Thomas,2022-07-06,WSN,@PHI,7,RF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Lane Thomas,2022-07-05,WSN,@PHI,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Lane Thomas,2022-07-04,WSN,MIA,1,RF-CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-07-03,WSN,MIA,2,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-07-02,WSN,MIA,6,LF-CF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Lane Thomas,2022-07-01,WSN,MIA,1,LF-CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-06-28,WSN,PIT,1,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-06-27,WSN,PIT,9,CF-LF,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Lane Thomas,2022-06-26,WSN,@TEX,6,CF-LF,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Lane Thomas,2022-06-25,WSN,@TEX,1,CF-LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250
Lane Thomas,2022-06-24,WSN,@TEX,7,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-06-22,WSN,@BAL,6,CF,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-06-21,WSN,@BAL,9,CF-LF,1,4,4,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.500
Lane Thomas,2022-06-19,WSN,PHI,9,CF-LF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Lane Thomas,2022-06-18,WSN,PHI,5,PH-LF,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000
Lane Thomas,2022-06-17,WSN,PHI,1,LF-CF,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Lane Thomas,2022-06-17,WSN,PHI,1,LF,1,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.200
Lane Thomas,2022-06-16,WSN,PHI,7,CF-LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-06-15,WSN,ATL,1,RF,1,2,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-06-14,WSN,ATL,1,RF,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-06-13,WSN,ATL,1,CF,1,4,5,2,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,.500
Lane Thomas,2022-06-12,WSN,MIL,1,CF,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Lane Thomas,2022-06-11,WSN,MIL,1,LF,1,2,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-06-10,WSN,MIL,1,LF,1,5,5,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.600
Lane Thomas,2022-06-09,WSN,@MIA,1,LF,1,4,5,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,.500
Lane Thomas,2022-06-08,WSN,@MIA,2,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Lane Thomas,2022-06-07,WSN,@MIA,2,CF-LF,1,5,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.400
Lane Thomas,2022-06-05,WSN,@CIN,2,CF-LF,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Lane Thomas,2022-06-04,WSN,@CIN,2,CF,1,4,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.500
Lane Thomas,2022-06-03,WSN,@CIN,2,LF,1,5,5,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,.600
Lane Thomas,2022-05-31,WSN,@NYM,9,PH-LF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Lane Thomas,2022-05-30,WSN,@NYM,6,LF,1,1,4,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,.000
Lane Thomas,2022-05-29,WSN,COL,2,LF,1,4,4,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.250
Lane Thomas,2022-05-28,WSN,COL,2,LF,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.000
Lane Thomas,2022-05-26,WSN,COL,6,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-05-25,WSN,LAD,2,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-05-24,WSN,LAD,8,CF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Lane Thomas,2022-05-23,WSN,LAD,1,CF-RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000
Lane Thomas,2022-05-22,WSN,@MIL,8,CF,1,4,4,2,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,.500
Lane Thomas,2022-05-21,WSN,@MIL,8,CF,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Lane Thomas,2022-05-20,WSN,@MIL,6,LF,1,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.250
Lane Thomas,2022-05-18,WSN,@MIA,8,CF-LF,1,4,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,.000
Lane Thomas,2022-05-17,WSN,@MIA,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-05-16,WSN,@MIA,7,LF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Lane Thomas,2022-05-15,WSN,HOU,7,CF-RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Lane Thomas,2022-05-13,WSN,HOU,7,LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Lane Thomas,2022-05-12,WSN,NYM,9,CF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Lane Thomas,2022-05-11,WSN,NYM,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-05-08,WSN,@LAA,7,CF-LF,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Lane Thomas,2022-05-07,WSN,@LAA,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-05-06,WSN,@LAA,7,LF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Lane Thomas,2022-05-04,WSN,@COL,6,LF,1,2,3,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.500
Lane Thomas,2022-05-03,WSN,@COL,4,PH-DH,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Lane Thomas,2022-05-01,WSN,@SFG,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-04-29,WSN,@SFG,7,LF,1,6,6,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.333
Lane Thomas,2022-04-28,WSN,MIA,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Lane Thomas,2022-04-27,WSN,MIA,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
Lane Thomas,2022-04-24,WSN,SFG,7,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Lane Thomas,2022-04-23,WSN,SFG,1,LF,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
