Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Lourdes Gurriel Jr.,2022-07-10,TOR,@SEA,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lourdes Gurriel Jr.,2022-07-09,TOR,@SEA,6,DH,1,3,4,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,.333
Lourdes Gurriel Jr.,2022-07-08,TOR,@SEA,6,LF,1,5,5,3,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.600
Lourdes Gurriel Jr.,2022-07-07,TOR,@SEA,6,LF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Lourdes Gurriel Jr.,2022-07-06,TOR,@OAK,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Lourdes Gurriel Jr.,2022-07-04,TOR,@OAK,6,LF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Lourdes Gurriel Jr.,2022-07-03,TOR,TBR,5,LF,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,.400
Lourdes Gurriel Jr.,2022-07-02,TOR,TBR,5,LF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Lourdes Gurriel Jr.,2022-07-01,TOR,TBR,7,DH,1,3,4,3,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1.000
Lourdes Gurriel Jr.,2022-06-30,TOR,TBR,6,LF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Lourdes Gurriel Jr.,2022-06-29,TOR,BOS,5,LF,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
Lourdes Gurriel Jr.,2022-06-28,TOR,BOS,5,LF,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,.250
Lourdes Gurriel Jr.,2022-06-27,TOR,BOS,6,DH,1,4,4,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.250
Lourdes Gurriel Jr.,2022-06-26,TOR,@MIL,8,LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
