Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Luis Guillorme,2022-07-11,NYM,@ATL,6,2B,1,3,4,2,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,.667
Luis Guillorme,2022-07-10,NYM,MIA,8,2B,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.750
Luis Guillorme,2022-07-09,NYM,MIA,8,2B,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Luis Guillorme,2022-07-07,NYM,MIA,4,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luis Guillorme,2022-07-06,NYM,@CIN,8,2B,1,4,5,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.250
Luis Guillorme,2022-07-03,NYM,TEX,8,2B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Luis Guillorme,2022-07-02,NYM,TEX,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luis Guillorme,2022-07-01,NYM,TEX,7,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Luis Guillorme,2022-06-29,NYM,HOU,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luis Guillorme,2022-06-28,NYM,HOU,8,2B-SS,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Luis Guillorme,2022-06-26,NYM,@MIA,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luis Guillorme,2022-06-25,NYM,@MIA,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luis Guillorme,2022-06-24,NYM,@MIA,5,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Luis Guillorme,2022-06-22,NYM,@HOU,5,2B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Luis Guillorme,2022-06-21,NYM,@HOU,6,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Luis Guillorme,2022-06-20,NYM,MIA,7,2B,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000
Luis Guillorme,2022-06-19,NYM,MIA,7,2B,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Luis Guillorme,2022-06-17,NYM,MIA,7,3B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Luis Guillorme,2022-06-16,NYM,MIL,7,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Luis Guillorme,2022-06-15,NYM,MIL,8,3B-SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Luis Guillorme,2022-06-14,NYM,MIL,7,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
