Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Luis Robert,2022-07-11,CHW,@CLE,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luis Robert,2022-07-10,CHW,DET,3,CF,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Luis Robert,2022-07-09,CHW,DET,3,CF,1,3,4,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,.333
Luis Robert,2022-07-08,CHW,DET,3,CF,1,5,5,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.400
Luis Robert,2022-07-07,CHW,DET,3,CF,1,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Luis Robert,2022-07-06,CHW,MIN,3,CF,1,4,5,2,1,0,0,1,2,2,1,0,2,0,0,0,0,0,0,.500
Luis Robert,2022-07-05,CHW,MIN,3,CF,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.667
Luis Robert,2022-07-04,CHW,MIN,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luis Robert,2022-07-03,CHW,@SFG,3,CF,1,6,6,2,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,.333
Luis Robert,2022-07-02,CHW,@SFG,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Luis Robert,2022-07-01,CHW,@SFG,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luis Robert,2022-06-29,CHW,@LAA,3,CF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Luis Robert,2022-06-28,CHW,@LAA,3,CF,1,5,5,3,1,1,0,1,2,2,0,0,2,0,0,0,0,0,0,.600
Luis Robert,2022-06-27,CHW,@LAA,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luis Robert,2022-06-26,CHW,BAL,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luis Robert,2022-06-25,CHW,BAL,3,CF,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Luis Robert,2022-06-24,CHW,BAL,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luis Robert,2022-06-22,CHW,TOR,3,CF,1,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Luis Robert,2022-06-21,CHW,TOR,3,CF,1,5,6,2,1,1,0,0,0,4,0,0,1,0,1,0,0,0,0,.400
Luis Robert,2022-06-20,CHW,TOR,3,CF,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Luis Robert,2022-06-19,CHW,@HOU,3,CF,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Luis Robert,2022-06-18,CHW,@HOU,3,CF,1,5,5,3,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,.600
Luis Robert,2022-06-17,CHW,@HOU,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Luis Robert,2022-06-15,CHW,@DET,3,CF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,.250
