Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Luke Maile,2022-07-11,CLE,CHW,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-07-09,CLE,@KCR,8,C,1,4,6,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,.250
Luke Maile,2022-07-08,CLE,@KCR,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-07-05,CLE,@DET,8,C,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.500
Luke Maile,2022-07-04,CLE,@DET,8,C,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-07-02,CLE,NYY,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-30,CLE,MIN,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-06-29,CLE,MIN,8,C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-28,CLE,MIN,9,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Luke Maile,2022-06-27,CLE,MIN,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luke Maile,2022-06-26,CLE,BOS,8,C,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-06-23,CLE,@MIN,8,C,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Luke Maile,2022-06-21,CLE,@MIN,8,C,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-06-19,CLE,@LAD,9,C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-17,CLE,@LAD,8,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luke Maile,2022-06-15,CLE,@COL,9,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-11,CLE,OAK,9,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luke Maile,2022-06-10,CLE,OAK,9,C,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Luke Maile,2022-06-09,CLE,OAK,9,C,1,3,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.333
Luke Maile,2022-06-07,CLE,TEX,8,C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Luke Maile,2022-06-05,CLE,@BAL,8,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-04,CLE,@BAL,8,C,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Luke Maile,2022-06-03,CLE,@BAL,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-06-01,CLE,KCR,9,C,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Luke Maile,2022-05-29,CLE,@DET,8,C,1,3,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.333
Luke Maile,2022-05-26,CLE,@DET,9,C,1,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.333
Luke Maile,2022-05-23,CLE,@HOU,9,C,1,3,4,3,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1.000
