Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Luke Williams,2022-07-10,MIA,@NYM,8,LF,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
Luke Williams,2022-07-07,MIA,@NYM,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-07-05,MIA,LAA,4,LF,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Luke Williams,2022-07-04,MIA,@WSN,8,2B,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.333
Luke Williams,2022-07-03,MIA,@WSN,9,3B,1,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000
Luke Williams,2022-06-29,MIA,@STL,2,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-26,MIA,NYM,8,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luke Williams,2022-06-25,MIA,NYM,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-24,MIA,NYM,9,3B,1,3,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.667
Luke Williams,2022-06-23,MIA,COL,4,PR-LF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-22,MIA,COL,6,PR-LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-21,MIA,COL,8,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-20,MIA,@NYM,9,LF,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
Luke Williams,2022-06-19,MIA,@NYM,9,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-18,MIA,@NYM,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000
Luke Williams,2022-06-17,MIA,@NYM,6,PH-3B,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Luke Williams,2022-06-14,MIA,@PHI,8,PR-3B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.000
Luke Williams,2022-06-12,MIA,@HOU,9,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Luke Williams,2022-06-11,MIA,@HOU,9,LF,1,4,4,2,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,.500
Luke Williams,2022-06-08,MIA,WSN,3,PR-LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-07,MIA,WSN,5,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-05,MIA,SFG,9,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Luke Williams,2022-06-04,MIA,SFG,4,PR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
