Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
MJ Melendez,2022-07-11,KCR,DET,1,C,1,3,5,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,.333
MJ Melendez,2022-07-10,KCR,CLE,4,DH,1,4,4,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
MJ Melendez,2022-07-09,KCR,CLE,4,C-RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-07-08,KCR,CLE,4,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-07-07,KCR,@HOU,3,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-07-06,KCR,@HOU,3,C,1,4,5,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,.250
MJ Melendez,2022-07-05,KCR,@HOU,6,C,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,.333
MJ Melendez,2022-07-04,KCR,@HOU,6,C,1,4,4,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,.500
MJ Melendez,2022-07-02,KCR,@DET,6,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-07-01,KCR,@DET,6,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-29,KCR,TEX,6,C,1,3,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.667
MJ Melendez,2022-06-28,KCR,TEX,4,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-06-27,KCR,TEX,6,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-26,KCR,OAK,4,C,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-06-25,KCR,OAK,5,DH-C,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.500
MJ Melendez,2022-06-24,KCR,OAK,5,C,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
MJ Melendez,2022-06-22,KCR,@LAA,4,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-06-21,KCR,@LAA,5,RF-C,1,5,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-20,KCR,@LAA,5,DH,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-19,KCR,@OAK,7,RF,1,3,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
MJ Melendez,2022-06-17,KCR,@OAK,5,DH,1,2,5,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,.000
MJ Melendez,2022-06-15,KCR,@SFG,5,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-14,KCR,@SFG,5,DH,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-13,KCR,@SFG,5,C,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
MJ Melendez,2022-06-12,KCR,BAL,5,DH,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-06-11,KCR,BAL,4,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
MJ Melendez,2022-06-10,KCR,BAL,5,RF-C,1,4,4,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,.500
MJ Melendez,2022-06-09,KCR,BAL,5,DH,1,2,4,1,0,0,0,1,2,2,2,0,1,0,0,0,0,0,0,.500
MJ Melendez,2022-06-08,KCR,TOR,5,C,1,5,5,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,.200
MJ Melendez,2022-06-07,KCR,TOR,5,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-06-06,KCR,TOR,5,RF-C,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
MJ Melendez,2022-06-05,KCR,HOU,5,C,1,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
MJ Melendez,2022-06-04,KCR,HOU,5,RF,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
MJ Melendez,2022-06-03,KCR,HOU,5,C,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
MJ Melendez,2022-06-01,KCR,@CLE,5,C,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
MJ Melendez,2022-05-31,KCR,@CLE,5,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
MJ Melendez,2022-05-30,KCR,@CLE,5,DH,1,3,4,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,.667
MJ Melendez,2022-05-29,KCR,@MIN,5,RF,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
MJ Melendez,2022-05-28,KCR,@MIN,5,C,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-05-27,KCR,@MIN,5,C,1,4,5,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,.250
MJ Melendez,2022-05-26,KCR,@MIN,5,C,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-05-24,KCR,@ARI,5,C,1,4,4,2,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,.500
MJ Melendez,2022-05-23,KCR,@ARI,5,C,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.250
MJ Melendez,2022-05-22,KCR,MIN,4,DH-C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-05-21,KCR,MIN,5,C,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-05-20,KCR,MIN,5,C,1,4,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.500
MJ Melendez,2022-05-19,KCR,CHW,5,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
MJ Melendez,2022-05-18,KCR,CHW,6,C,1,4,4,2,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,.500
MJ Melendez,2022-05-17,KCR,CHW,7,C,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333
MJ Melendez,2022-05-17,KCR,CHW,7,C,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
MJ Melendez,2022-05-15,KCR,@COL,7,C,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
MJ Melendez,2022-05-14,KCR,@COL,7,DH-C,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
MJ Melendez,2022-05-12,KCR,@TEX,9,PH-C,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
MJ Melendez,2022-05-10,KCR,@TEX,6,C,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
MJ Melendez,2022-05-09,KCR,@BAL,7,C,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
MJ Melendez,2022-05-08,KCR,@BAL,7,C,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
MJ Melendez,2022-05-08,KCR,@BAL,3,PR-C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
MJ Melendez,2022-05-04,KCR,STL,7,C,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
MJ Melendez,2022-05-03,KCR,STL,7,DH,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
