Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Mark Mathias,2022-06-19,MIL,@CIN,9,2B,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
Mark Mathias,2022-06-15,MIL,@NYM,9,2B,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
Mark Mathias,2022-06-12,MIL,@WSN,4,2B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mark Mathias,2022-06-11,MIL,@WSN,9,2B,1,3,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,.333
Mark Mathias,2022-05-30,MIL,@CHC,8,2B,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Mark Mathias,2022-05-28,MIL,@STL,8,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Mark Mathias,2020-09-05,MIL,@CLE,5,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-09-04,MIL,@CLE,7,PH-1B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-09-01,MIL,DET,1,RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-08-31,MIL,PIT,7,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-08-30,MIL,PIT,6,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Mark Mathias,2020-08-28,MIL,PIT,6,LF-RF,1,4,4,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Mark Mathias,2020-08-27,MIL,CIN,7,LF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-08-27,MIL,CIN,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Mark Mathias,2020-08-25,MIL,CIN,9,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mark Mathias,2020-08-22,MIL,@PIT,8,RF-CF,1,4,4,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
Mark Mathias,2020-08-10,MIL,MIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Mark Mathias,2020-08-09,MIL,CIN,8,RF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250
Mark Mathias,2020-08-07,MIL,CIN,8,RF,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Mark Mathias,2020-08-06,MIL,@CHW,8,RF,1,5,5,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,.400
Mark Mathias,2020-08-05,MIL,@CHW,7,LF,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
Mark Mathias,2020-08-04,MIL,CHW,6,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
