Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Matt Carpenter,2022-07-10,NYY,@BOS,6,DH,1,3,4,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,.667
Matt Carpenter,2022-07-09,NYY,@BOS,6,LF,1,2,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.000
Matt Carpenter,2022-07-08,NYY,@BOS,3,LF,1,4,5,3,1,1,0,1,2,2,0,0,1,1,0,0,0,0,0,.750
Matt Carpenter,2022-07-07,NYY,@BOS,3,DH,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Carpenter,2022-07-06,NYY,@PIT,3,RF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Matt Carpenter,2022-07-05,NYY,@PIT,6,DH,1,4,4,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.500
Matt Carpenter,2022-07-03,NYY,@CLE,9,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Carpenter,2022-07-02,NYY,@CLE,7,1B,1,5,5,3,1,0,0,2,2,4,0,0,1,0,0,0,0,0,0,.600
Matt Carpenter,2022-06-30,NYY,@HOU,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Carpenter,2022-06-27,NYY,OAK,3,PH-1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Matt Carpenter,2022-06-26,NYY,HOU,9,PH,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.000
Matt Carpenter,2022-06-25,NYY,HOU,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Carpenter,2022-06-24,NYY,HOU,9,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Matt Carpenter,2022-06-22,NYY,@TBR,6,1B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Matt Carpenter,2022-06-18,NYY,@TOR,1,3B,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000
Matt Carpenter,2022-06-14,NYY,TBR,6,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
