Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Matt Davidson,2022-06-17,OAK,KCR,5,3B,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Davidson,2022-06-16,OAK,@BOS,5,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2022-06-15,OAK,@BOS,5,PH-DH,1,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Matt Davidson,2022-06-12,OAK,@CLE,9,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Davidson,2022-06-11,OAK,@CLE,8,3B,1,4,4,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Matt Davidson,2022-06-09,OAK,@CLE,7,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2022-06-08,OAK,@ATL,8,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.250
Matt Davidson,2022-06-07,OAK,@ATL,7,3B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Matt Davidson,2022-04-30,ARI,@STL,1,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2022-04-27,ARI,LAD,3,DH,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Matt Davidson,2022-04-25,ARI,LAD,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2022-04-22,ARI,NYM,3,3B,1,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Matt Davidson,2022-04-21,ARI,@WSN,3,3B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Matt Davidson,2020-09-06,CIN,@PIT,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-09-04,CIN,PIT,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2020-09-04,CIN,@PIT,3,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
Matt Davidson,2020-09-02,CIN,STL,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2020-09-01,CIN,STL,3,DH-P,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Matt Davidson,2020-08-30,CIN,CHC,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-28,CIN,CHC,6,DH,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Matt Davidson,2020-08-25,CIN,@MIL,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-24,CIN,@MIL,4,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Matt Davidson,2020-08-23,CIN,@STL,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-22,CIN,@STL,3,DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-21,CIN,@STL,7,PH-DH,1,2,2,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,.500
Matt Davidson,2020-08-11,CIN,KCR,5,DH,1,1,2,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1.000
Matt Davidson,2020-08-08,CIN,@MIL,5,DH,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Matt Davidson,2020-08-07,CIN,@MIL,4,1B,1,5,5,2,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,.400
Matt Davidson,2020-08-06,CIN,@CLE,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-05,CIN,@CLE,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-08-04,CIN,CLE,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2020-08-02,CIN,@DET,4,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
Matt Davidson,2020-08-02,CIN,@DET,5,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Matt Davidson,2020-07-31,CIN,@DET,6,PH-DH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Davidson,2020-07-24,CIN,DET,6,DH,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
