Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Matt Reynolds,2022-07-10,CIN,TBR,9,SS,1,4,4,2,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.500
Matt Reynolds,2022-07-09,CIN,TBR,7,PH-1B,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
Matt Reynolds,2022-07-08,CIN,TBR,6,3B,1,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000
Matt Reynolds,2022-07-06,CIN,NYM,6,2B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,.000
Matt Reynolds,2022-07-05,CIN,NYM,8,SS,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Matt Reynolds,2022-07-04,CIN,NYM,8,SS,1,3,4,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,.667
Matt Reynolds,2022-07-03,CIN,ATL,8,SS,1,3,3,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.333
Matt Reynolds,2022-07-02,CIN,ATL,5,PR-SS,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-30,CIN,@CHC,2,RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-28,CIN,@CHC,6,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-26,CIN,@SFG,6,SS,1,4,5,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,.250
Matt Reynolds,2022-06-25,CIN,@SFG,1,PH-2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-23,CIN,LAD,6,2B,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-22,CIN,LAD,7,RF,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-18,CIN,MIL,8,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-17,CIN,MIL,5,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-15,CIN,@ARI,3,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-14,CIN,@ARI,7,PR-DH-RF,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-13,CIN,@ARI,6,2B,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.500
Matt Reynolds,2022-06-12,CIN,@STL,6,2B,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.500
Matt Reynolds,2022-06-11,CIN,@STL,6,2B-3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250
Matt Reynolds,2022-06-10,CIN,@STL,6,2B-SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Reynolds,2022-06-09,CIN,ARI,9,2B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.250
