Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Matt Vierling,2022-07-11,PHI,@STL,9,CF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
Matt Vierling,2022-07-10,PHI,@STL,8,CF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.250
Matt Vierling,2022-07-09,PHI,@STL,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Vierling,2022-07-08,PHI,@STL,3,PR-RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Vierling,2022-07-07,PHI,WSN,8,3B,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
Matt Vierling,2022-07-05,PHI,WSN,8,2B-RF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
Matt Vierling,2022-07-03,PHI,STL,4,PR-DH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Vierling,2022-07-02,PHI,STL,6,LF-2B,1,1,5,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,.000
Matt Vierling,2022-07-01,PHI,STL,8,3B,1,2,4,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.500
Matt Vierling,2022-06-30,PHI,ATL,9,CF-RF-1B,1,2,4,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,.500
Matt Vierling,2022-06-28,PHI,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Vierling,2022-06-26,PHI,@SDP,9,RF,1,4,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500
Matt Vierling,2022-06-25,PHI,@SDP,8,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Vierling,2022-06-24,PHI,@SDP,7,CF,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667
Matt Vierling,2022-06-21,PHI,@TEX,7,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Vierling,2022-06-19,PHI,@WSN,9,LF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Matt Vierling,2022-06-18,PHI,@WSN,8,RF,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000
Matt Vierling,2022-06-17,PHI,@WSN,8,LF-CF,1,3,4,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,.667
Matt Vierling,2022-06-16,PHI,@WSN,8,CF-RF,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200
Matt Vierling,2022-06-15,PHI,MIA,2,PR-1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000
Matt Vierling,2022-06-14,PHI,MIA,9,CF,1,5,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.400
Matt Vierling,2022-06-13,PHI,MIA,9,3B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.250
Matt Vierling,2022-06-12,PHI,ARI,4,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Vierling,2022-06-11,PHI,ARI,8,2B,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.333
Matt Vierling,2022-06-08,PHI,@MIL,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Matt Vierling,2022-06-07,PHI,@MIL,9,PH-CF,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.000
Matt Vierling,2022-05-10,PHI,@SEA,9,CF,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Matt Vierling,2022-05-09,PHI,@SEA,4,PH-RF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Matt Vierling,2022-05-04,PHI,TEX,9,CF-LF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000
