Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Miguel Sanó,2022-04-30,MIN,@TBR,6,1B,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-26,MIN,DET,7,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2022-04-24,MIN,CHW,8,1B,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250
Miguel Sanó,2022-04-23,MIN,CHW,7,1B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-22,MIN,CHW,7,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-21,MIN,@KCR,6,1B,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.000
Miguel Sanó,2022-04-20,MIN,@KCR,7,1B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Miguel Sanó,2022-04-18,MIN,@BOS,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-17,MIN,@BOS,8,1B,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-16,MIN,@BOS,8,1B,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
Miguel Sanó,2022-04-15,MIN,@BOS,8,1B,1,4,5,1,0,0,0,1,1,2,1,0,1,0,0,0,0,1,0,.250
Miguel Sanó,2022-04-13,MIN,LAD,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-12,MIN,LAD,8,1B,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Miguel Sanó,2022-04-11,MIN,SEA,8,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-10,MIN,SEA,5,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-09,MIN,SEA,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2022-04-08,MIN,SEA,5,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-10-03,MIN,@KCR,6,1B,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2021-10-02,MIN,@KCR,4,DH,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
Miguel Sanó,2021-10-01,MIN,@KCR,6,1B,1,4,4,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.750
Miguel Sanó,2021-09-30,MIN,DET,6,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-29,MIN,DET,6,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-28,MIN,DET,5,DH,1,4,4,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,.250
Miguel Sanó,2021-09-26,MIN,TOR,7,1B,1,3,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,.333
Miguel Sanó,2021-09-25,MIN,TOR,6,1B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-24,MIN,TOR,5,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-23,MIN,TOR,6,1B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.333
Miguel Sanó,2021-09-22,MIN,@CHC,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-21,MIN,@CHC,6,1B,1,5,5,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,.200
Miguel Sanó,2021-09-19,MIN,@TOR,6,1B,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2021-09-18,MIN,@TOR,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2021-09-17,MIN,@TOR,4,1B,1,4,5,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.250
Miguel Sanó,2021-09-15,MIN,CLE,6,1B,1,4,4,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,.500
Miguel Sanó,2021-09-14,MIN,CLE,4,1B,1,2,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.500
Miguel Sanó,2021-09-14,MIN,CLE,5,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-13,MIN,@NYY,6,1B,1,5,5,3,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.600
Miguel Sanó,2021-09-12,MIN,KCR,5,DH,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,.000
Miguel Sanó,2021-09-11,MIN,KCR,7,1B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-10,MIN,KCR,5,1B,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-09,MIN,@CLE,5,1B,1,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.500
Miguel Sanó,2021-09-08,MIN,@CLE,6,1B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,.250
Miguel Sanó,2021-09-07,MIN,@CLE,5,1B,1,3,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.667
Miguel Sanó,2021-09-06,MIN,@CLE,5,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-04,MIN,@TBR,6,1B,1,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
Miguel Sanó,2021-09-03,MIN,@TBR,6,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-09-01,MIN,CHC,5,DH,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-31,MIN,CHC,6,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.250
Miguel Sanó,2021-08-30,MIN,@DET,6,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-29,MIN,MIL,5,1B,1,4,4,2,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,.500
Miguel Sanó,2021-08-28,MIN,MIL,6,1B,1,4,4,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,.500
Miguel Sanó,2021-08-27,MIN,MIL,5,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2021-08-26,MIN,@BOS,4,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-25,MIN,@BOS,5,1B,1,5,5,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.200
Miguel Sanó,2021-08-24,MIN,@BOS,8,1B,1,4,5,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,.250
Miguel Sanó,2021-08-19,MIN,@NYY,5,1B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.250
Miguel Sanó,2021-08-18,MIN,CLE,6,1B,1,4,5,2,0,1,0,1,2,3,1,1,0,0,0,0,0,0,0,.500
Miguel Sanó,2021-08-17,MIN,CLE,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-16,MIN,CLE,6,1B,1,3,5,1,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,.333
Miguel Sanó,2021-08-15,MIN,TBR,7,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-14,MIN,TBR,7,1B,1,4,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
Miguel Sanó,2021-08-13,MIN,TBR,6,1B,1,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.500
Miguel Sanó,2021-08-11,MIN,CHW,5,1B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-10,MIN,CHW,6,1B,1,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,.000
Miguel Sanó,2021-08-09,MIN,CHW,5,1B,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.333
